00:48:41.008 [TUNER] --- CSV START ---
00:48:41.008 [TUNER] Metadata,PID_0(P:12.35200 I:445.32941 D:0.00000),PID_1(P:13.37410 I:478.63708 D:0.00000)
00:48:41.008 [TUNER] Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
00:48:41.010 [TUNER] 0,0,0.00,0.00,0.09,0.00,0.00,0.00,0.22,0.00
00:48:41.045 [TUNER] 1,970,0.00,8.00,0.09,0.00,0.00,8.00,0.22,0.00
00:48:41.045 [TUNER] 2,1002,0.00,16.00,0.31,0.00,0.00,16.00,0.46,0.00
00:48:41.086 [TUNER] 3,998,0.00,24.00,0.31,0.00,0.00,24.00,0.46,0.00
00:48:41.086 [TUNER] 4,1002,0.00,32.00,0.55,0.00,0.00,32.00,0.72,0.00
00:48:41.131 [TUNER] 5,1003,0.00,40.00,0.68,0.00,0.00,40.00,0.86,0.00
00:48:41.131 [TUNER] 6,995,0.00,48.00,0.68,0.00,0.00,48.00,0.86,0.00
00:48:41.168 [TUNER] 7,1000,3.44,56.00,0.90,0.00,0.00,56.00,1.14,0.00
00:48:41.168 [TUNER] 8,1000,3.44,64.00,0.90,0.00,0.00,64.00,1.14,0.00
00:48:41.213 [TUNER] 9,1000,18.22,72.00,0.97,0.00,6.87,72.00,1.34,0.00
00:48:41.213 [TUNER] 10,1000,18.22,80.00,0.97,0.00,6.87,80.00,1.34,0.00
00:48:41.213 [TUNER] 11,1000,35.19,88.00,1.02,0.00,10.65,88.00,1.59,0.00
00:48:41.255 [TUNER] 12,1000,35.19,96.00,1.02,0.00,10.65,96.00,1.59,0.00
00:48:41.256 [TUNER] 13,1000,47.05,104.00,1.14,0.00,15.39,104.00,1.84,0.00
00:48:41.298 [TUNER] 14,1000,47.05,112.00,1.14,0.00,15.39,112.00,1.84,0.00
00:48:41.298 [TUNER] 15,1000,53.10,120.00,1.34,0.00,27.78,120.00,2.00,0.00
00:48:41.340 [TUNER] 16,1000,53.10,128.00,1.34,0.00,27.78,128.00,2.00,0.00
00:48:41.341 [TUNER] 17,1000,59.66,136.00,1.54,0.00,49.71,136.00,2.02,0.00
00:48:41.382 [TUNER] 18,1000,59.66,144.00,1.54,0.00,49.71,144.00,2.02,0.00
00:48:41.382 [TUNER] 19,1000,59.76,152.00,1.84,0.00,70.69,152.00,2.04,0.00
00:48:41.428 [TUNER] 20,1000,59.76,160.00,1.84,0.00,70.69,160.00,2.04,0.00
00:48:41.428 [TUNER] 21,1000,70.14,168.00,2.01,0.00,82.33,168.00,2.20,0.00
00:48:41.467 [TUNER] 22,1000,70.14,176.00,2.01,0.00,82.33,176.00,2.20,0.00
00:48:41.467 [TUNER] 23,1000,83.60,184.00,2.15,0.00,100.22,184.00,2.27,0.00
00:48:41.510 [TUNER] 24,1000,83.60,192.00,2.15,0.00,100.22,192.00,2.27,0.00
00:48:41.511 [TUNER] 25,1000,99.52,200.00,2.25,0.00,117.97,200.00,2.34,0.00
00:48:41.553 [TUNER] 26,1000,99.52,208.00,2.25,0.00,117.97,208.00,2.34,0.00
00:48:41.554 [TUNER] 27,1000,117.42,216.00,2.33,0.00,142.49,216.00,2.31,0.00
00:48:41.595 [TUNER] 28,1000,117.42,224.00,2.33,0.00,142.49,224.00,2.31,0.00
00:48:41.596 [TUNER] 29,1000,135.17,232.00,2.41,0.00,163.81,232.00,2.32,0.00
00:48:41.596 [TUNER] 30,1000,135.17,240.00,2.41,0.00,163.81,240.00,2.32,0.00
00:48:41.638 [TUNER] 31,1000,159.68,248.00,2.40,0.00,180.87,248.00,2.39,0.00
00:48:41.638 [TUNER] 32,1000,159.68,256.00,2.40,0.00,180.87,256.00,2.39,0.00
00:48:41.680 [TUNER] 33,1000,189.59,264.00,2.31,0.00,208.27,264.00,2.30,0.00
00:48:41.680 [TUNER] 34,1000,189.59,272.00,2.31,0.00,208.27,272.00,2.30,0.00
00:48:41.725 [TUNER] 35,1000,225.55,280.00,2.13,0.00,237.05,280.00,2.19,0.00
00:48:41.725 [TUNER] 36,1000,225.55,288.00,2.13,0.00,237.05,288.00,2.19,0.00
00:48:41.763 [TUNER] 37,1000,266.34,296.00,1.87,0.00,236.03,296.00,2.49,0.00
00:48:41.764 [TUNER] 38,1000,266.34,304.00,1.87,0.00,236.03,304.00,2.49,0.00
00:48:41.809 [TUNER] 39,1000,293.82,312.00,1.76,0.00,264.42,312.00,2.39,0.00
00:48:41.809 [TUNER] 40,1000,293.82,320.00,1.76,0.00,264.42,320.00,2.39,0.00
00:48:41.850 [TUNER] 41,1000,314.09,328.00,1.73,0.00,280.26,328.00,2.45,0.00
00:48:41.850 [TUNER] 42,1000,314.09,336.00,1.73,0.00,280.26,336.00,2.45,0.00
00:48:41.892 [TUNER] 43,1000,335.46,344.00,1.69,0.00,301.52,344.00,2.44,0.00
00:48:41.892 [TUNER] 44,1000,335.46,352.00,1.69,0.00,301.52,352.00,2.44,0.00
00:48:41.937 [TUNER] 45,1000,345.68,360.00,1.79,0.00,320.25,360.00,2.45,0.00
00:48:41.937 [TUNER] 46,1000,345.68,368.00,1.79,0.00,320.25,368.00,2.45,0.00
00:48:41.937 [TUNER] 47,1000,353.85,376.00,1.92,0.00,345.54,376.00,2.37,0.00
00:48:41.979 [TUNER] 48,1000,353.85,384.00,1.92,0.00,345.54,384.00,2.37,0.00
00:48:41.981 [TUNER] 49,1000,363.83,392.00,2.04,0.00,372.64,392.00,2.26,0.00
00:48:42.019 [TUNER] 50,1000,363.83,400.00,2.04,0.00,372.64,400.00,2.26,0.00
00:48:42.021 [TUNER] 51,1000,378.69,408.00,2.10,0.00,401.20,408.00,2.11,0.00
00:48:42.062 [TUNER] 52,1000,378.69,416.00,2.10,0.00,401.20,416.00,2.11,0.00
00:48:42.062 [TUNER] 53,1000,392.29,424.00,2.17,0.00,429.19,424.00,1.96,0.00
00:48:42.105 [TUNER] 54,1000,392.29,432.00,2.17,0.00,429.19,432.00,1.96,0.00
00:48:42.105 [TUNER] 55,1000,415.20,440.00,2.12,0.00,446.44,440.00,1.96,0.00
00:48:42.149 [TUNER] 56,1000,415.20,448.00,2.12,0.00,446.44,448.00,1.96,0.00
00:48:42.149 [TUNER] 57,1000,454.14,456.00,1.86,0.00,453.36,456.00,2.10,0.00
00:48:42.189 [TUNER] 58,1000,454.14,464.00,1.86,0.00,453.36,464.00,2.10,0.00
00:48:42.189 [TUNER] 59,1000,488.73,472.00,1.63,0.00,462.34,472.00,2.22,0.00
00:48:42.233 [TUNER] 60,1000,488.73,480.00,1.63,0.00,462.34,480.00,2.22,0.00
00:48:42.233 [TUNER] 61,1000,497.50,488.00,1.72,0.00,478.11,488.00,2.24,0.00
00:48:42.276 [TUNER] 62,1000,497.50,496.00,1.72,0.00,478.11,496.00,2.24,0.00
00:48:42.276 [TUNER] 63,1000,501.09,504.00,1.90,0.00,495.88,504.00,2.24,0.00
00:48:42.276 [TUNER] 64,1000,501.09,512.00,1.90,0.00,495.88,512.00,2.24,0.00
00:48:42.318 [TUNER] 65,1000,509.11,520.00,2.02,0.00,518.68,520.00,2.17,0.00
