16:32:30.908 [TUNER] --- CSV START ---
16:32:30.908 [TUNER] Metadata,PID_0(P:15.61860 I:661.27509 D:0.00000),PID_1(P:15.35330 I:650.89368 D:0.00000)
16:32:30.908 [TUNER] Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
16:32:30.908 [TUNER] 0,0,0.00,0.00,0.14,0.00,0.00,0.00,0.11,0.00
16:32:30.928 [TUNER] 1,889,0.00,8.02,0.14,0.00,0.00,8.02,0.11,0.00
16:32:30.928 [TUNER] 2,999,0.00,16.04,0.42,0.00,0.00,16.04,0.40,0.00
16:32:30.972 [TUNER] 3,998,0.00,24.06,0.42,0.00,0.00,24.06,0.40,0.00
16:32:30.972 [TUNER] 4,1002,0.00,32.09,0.73,0.00,0.00,32.09,0.70,0.00
16:32:31.011 [TUNER] 5,998,0.00,40.11,0.73,0.00,0.00,40.11,0.70,0.00
16:32:31.012 [TUNER] 6,1002,0.00,48.13,1.06,0.00,0.00,48.13,1.02,0.00
16:32:31.057 [TUNER] 7,998,0.00,56.15,1.06,0.00,0.00,56.15,1.02,0.00
16:32:31.057 [TUNER] 8,1003,6.87,64.17,1.29,0.00,0.00,64.17,1.37,0.00
16:32:31.099 [TUNER] 9,997,6.87,72.19,1.29,0.00,0.00,72.19,1.37,0.00
16:32:31.100 [TUNER] 10,1003,26.97,80.21,1.32,0.00,6.01,80.21,1.63,0.00
16:32:31.142 [TUNER] 11,997,26.97,88.24,1.32,0.00,6.01,88.24,1.63,0.00
16:32:31.143 [TUNER] 12,1003,28.45,96.26,1.65,0.00,16.84,96.26,1.83,0.00
16:32:31.187 [TUNER] 13,997,28.45,104.28,1.65,0.00,16.84,104.28,1.83,0.00
16:32:31.188 [TUNER] 14,1003,30.49,112.30,1.99,0.00,32.37,112.30,1.96,0.00
16:32:31.192 [TUNER] 15,997,30.49,120.32,1.99,0.00,32.37,120.32,1.96,0.00
16:32:31.227 [TUNER] 16,1003,46.73,128.34,2.11,0.00,49.09,128.34,2.06,0.00
16:32:31.227 [TUNER] 17,997,46.73,136.36,2.11,0.00,49.09,136.36,2.06,0.00
16:32:31.271 [TUNER] 18,1003,66.59,144.39,2.17,0.00,68.48,144.39,2.13,0.00
16:32:31.274 [TUNER] 19,997,66.59,152.41,2.17,0.00,68.48,152.41,2.13,0.00
16:32:31.311 [TUNER] 20,1003,84.20,160.43,2.26,0.00,89.14,160.43,2.16,0.00
16:32:31.311 [TUNER] 21,997,84.20,168.45,2.26,0.00,89.14,168.45,2.16,0.00
16:32:31.355 [TUNER] 22,1003,95.71,176.47,2.45,0.00,108.25,176.47,2.22,0.00
16:32:31.356 [TUNER] 23,997,95.71,184.49,2.45,0.00,108.25,184.49,2.22,0.00
16:32:31.396 [TUNER] 24,1003,116.94,192.51,2.48,0.00,125.26,192.51,2.31,0.00
16:32:31.396 [TUNER] 25,997,116.94,200.53,2.48,0.00,125.26,200.53,2.31,0.00
16:32:31.440 [TUNER] 26,1003,145.95,208.56,2.38,0.00,144.02,208.56,2.36,0.00
16:32:31.441 [TUNER] 27,997,145.95,216.58,2.38,0.00,144.02,216.58,2.36,0.00
16:32:31.483 [TUNER] 28,1003,176.89,224.60,2.22,0.00,169.33,224.60,2.31,0.00
16:32:31.483 [TUNER] 29,997,176.89,232.62,2.22,0.00,169.33,232.62,2.31,0.00
16:32:31.524 [TUNER] 30,1003,195.63,240.64,2.26,0.00,194.74,240.64,2.24,0.00
16:32:31.524 [TUNER] 31,997,195.63,248.66,2.26,0.00,194.74,248.66,2.24,0.00
16:32:31.525 [TUNER] 32,1003,208.91,256.68,2.38,0.00,224.51,256.68,2.08,0.00
