04:12:00.810 [TUNER] --- CSV START ---
04:12:00.810 [TUNER] Metadata,PID_0(P:12.35200 I:445.32941 D:0.00000),PID_1(P:13.37410 I:478.63708 D:0.00000)
04:12:00.811 [TUNER] Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
04:12:00.812 [TUNER] 0,0,0.00,0.00,0.08,0.00,0.00,0.00,0.22,0.00
04:12:00.812 [TUNER] 1,978,0.00,9.01,0.08,0.00,0.00,9.01,0.22,0.00
04:12:00.838 [TUNER] 2,1000,0.00,18.02,0.34,0.00,0.00,18.02,0.49,0.00
04:12:00.838 [TUNER] 3,1000,0.00,27.03,0.34,0.00,0.00,27.03,0.49,0.00
04:12:00.872 [TUNER] 4,1000,0.00,36.04,0.61,0.00,0.00,36.04,0.79,0.00
04:12:00.908 [TUNER] 5,1000,0.00,45.05,0.61,0.00,0.00,45.05,0.79,0.00
04:12:00.908 [TUNER] 6,1000,0.00,54.05,0.90,0.00,0.00,54.05,1.10,0.00
04:12:00.942 [TUNER] 7,1000,0.00,63.06,0.90,0.00,0.00,63.06,1.10,0.00
04:12:00.943 [TUNER] 8,1000,8.59,72.07,1.09,0.00,3.44,72.07,1.38,0.00
04:12:00.977 [TUNER] 9,1000,8.59,81.08,1.09,0.00,3.44,81.08,1.38,0.00
04:12:00.977 [TUNER] 10,1000,14.60,90.09,1.32,0.00,8.25,90.09,1.65,0.00
04:12:01.013 [TUNER] 11,1000,14.60,99.10,1.32,0.00,8.25,99.10,1.65,0.00
04:12:01.048 [TUNER] 12,1000,18.30,108.11,1.60,0.00,15.15,108.11,1.90,0.00
04:12:01.048 [TUNER] 13,1000,18.30,117.12,1.60,0.00,15.15,117.12,1.90,0.00
04:12:01.082 [TUNER] 14,1000,21.62,126.13,1.89,0.00,23.09,126.13,2.16,0.00
04:12:01.082 [TUNER] 15,1000,21.62,135.14,1.89,0.00,23.09,135.14,2.16,0.00
04:12:01.118 [TUNER] 16,1000,30.63,144.14,2.12,0.00,32.80,144.14,2.39,0.00
04:12:01.119 [TUNER] 17,1000,30.63,153.15,2.12,0.00,32.80,153.15,2.39,0.00
04:12:01.153 [TUNER] 18,1000,43.03,162.16,2.32,0.00,44.13,162.16,2.61,0.00
04:12:01.188 [TUNER] 19,1000,43.03,171.17,2.32,0.00,44.13,171.17,2.61,0.00
04:12:01.188 [TUNER] 20,1000,55.90,180.18,2.52,0.00,61.19,180.18,2.77,0.00
04:12:01.223 [TUNER] 21,1064,71.07,189.19,2.52,0.00,85.41,189.19,2.77,0.00
04:12:01.223 [TUNER] 22,938,71.07,198.20,2.66,0.00,85.41,198.20,2.79,0.00
04:12:01.259 [TUNER] 23,998,88.97,207.21,2.63,0.00,119.73,207.21,2.51,0.00
04:12:01.259 [TUNER] 24,1000,88.97,216.22,2.63,0.00,119.73,216.22,2.51,0.00
04:12:01.292 [TUNER] 25,1000,112.71,225.23,2.67,0.00,151.57,225.23,2.41,0.00
04:12:01.327 [TUNER] 26,1000,112.71,234.23,2.67,0.00,151.57,234.23,2.41,0.00
04:12:01.328 [TUNER] 27,1000,137.52,243.24,2.70,0.00,186.23,243.24,2.26,0.00
04:12:01.362 [TUNER] 28,1000,137.52,252.25,2.70,0.00,186.23,252.25,2.26,0.00
04:12:01.362 [TUNER] 29,1000,165.00,261.26,2.69,0.00,214.86,261.26,2.18,0.00
04:12:01.397 [TUNER] 30,1000,165.00,270.27,2.69,0.00,214.86,270.27,2.18,0.00
04:12:01.398 [TUNER] 31,1000,193.17,279.28,2.66,0.00,238.04,279.28,2.17,0.00
04:12:01.432 [TUNER] 32,1000,193.17,288.29,2.66,0.00,238.04,288.29,2.17,0.00
04:12:01.467 [TUNER] 33,1000,221.96,297.30,2.61,0.00,264.06,297.30,2.11,0.00
04:12:01.467 [TUNER] 34,1000,221.96,306.31,2.61,0.00,264.06,306.31,2.11,0.00
04:12:01.504 [TUNER] 35,1000,250.45,315.32,2.56,0.00,282.32,315.32,2.16,0.00
04:12:01.504 [TUNER] 36,1000,250.45,324.32,2.56,0.00,282.32,324.32,2.16,0.00
04:12:01.537 [TUNER] 37,1000,271.79,333.33,2.59,0.00,303.92,333.33,2.16,0.00
