23:56:14.692 [TUNER] --- CSV START ---
23:56:14.692 [TUNER] Metadata,Profile(Accel:12.0 Jerk:100.0),PID_0(P:15.02310 I:641.27429 D:0.00000),PID_1(P:16.24510 I:689.23749 D:0.00000)
23:56:14.692 [TUNER] Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
23:56:14.694 [TUNER] 0,0,0.00,0.10,0.09,0.00,0.00,0.10,0.22,0.00
23:56:14.704 [TUNER] 1,976,0.00,0.30,0.09,0.00,0.00,0.30,0.22,0.00
23:56:14.705 [TUNER] 2,1000,0.00,0.60,0.10,0.00,0.00,0.60,0.23,0.00
23:56:14.742 [TUNER] 3,1000,0.00,1.00,0.10,0.00,0.00,1.00,0.23,0.00
23:56:14.777 [TUNER] 4,1000,0.00,1.50,0.11,0.00,0.00,1.50,0.25,0.00
23:56:14.778 [TUNER] 5,1000,0.00,2.10,0.11,0.00,0.00,2.10,0.25,0.00
23:56:14.811 [TUNER] 6,1000,0.00,2.80,0.14,0.00,0.00,2.80,0.28,0.00
23:56:14.811 [TUNER] 7,1000,0.00,3.60,0.14,0.00,0.00,3.60,0.28,0.00
23:56:14.847 [TUNER] 8,1003,0.00,4.50,0.17,0.00,0.00,4.50,0.31,0.00
23:56:14.882 [TUNER] 9,999,0.00,5.50,0.17,0.00,0.00,5.50,0.31,0.00
23:56:14.918 [TUNER] 10,998,0.00,6.60,0.21,0.00,0.00,6.60,0.36,0.00
23:56:14.918 [TUNER] 11,1000,0.00,7.80,0.21,0.00,0.00,7.80,0.36,0.00
23:56:14.918 [TUNER] 12,1000,0.00,9.10,0.26,0.00,0.00,9.10,0.41,0.00
23:56:14.953 [TUNER] 13,1000,0.00,10.50,0.26,0.00,0.00,10.50,0.41,0.00
23:56:14.953 [TUNER] 14,1000,0.00,12.00,0.32,0.00,0.00,12.00,0.48,0.00
23:56:14.988 [TUNER] 15,1000,0.00,13.60,0.32,0.00,0.00,13.60,0.48,0.00
23:56:15.022 [TUNER] 16,1000,0.00,15.30,0.40,0.00,0.00,15.30,0.56,0.00
23:56:15.023 [TUNER] 17,1000,0.00,17.10,0.40,0.00,0.00,17.10,0.56,0.00
23:56:15.057 [TUNER] 18,1000,0.00,19.00,0.48,0.00,0.00,19.00,0.65,0.00
23:56:15.057 [TUNER] 19,1000,0.00,21.00,0.48,0.00,0.00,21.00,0.65,0.00
23:56:15.090 [TUNER] 20,1000,0.00,23.10,0.58,0.00,0.00,23.10,0.75,0.00
23:56:15.126 [TUNER] 21,1000,0.00,25.30,0.58,0.00,0.00,25.30,0.75,0.00
23:56:15.127 [TUNER] 22,1000,0.00,27.60,0.68,0.00,0.00,27.60,0.87,0.00
23:56:15.163 [TUNER] 23,1000,0.00,30.00,0.68,0.00,0.00,30.00,0.87,0.00
23:56:15.164 [TUNER] 24,1000,0.00,32.50,0.80,0.00,0.00,32.50,0.99,0.00
23:56:15.196 [TUNER] 25,1000,0.00,35.10,0.80,0.00,0.00,35.10,0.99,0.00
23:56:15.197 [TUNER] 26,1000,0.00,37.80,0.94,0.00,0.00,37.80,1.14,0.00
23:56:15.231 [TUNER] 27,1000,0.00,40.60,0.94,0.00,0.00,40.60,1.14,0.00
23:56:15.266 [TUNER] 28,1000,0.00,43.50,1.08,0.00,0.00,43.50,1.30,0.00
23:56:15.302 [TUNER] 29,1000,0.00,46.50,1.08,0.00,0.00,46.50,1.30,0.00
23:56:15.302 [TUNER] 30,1000,0.00,49.60,1.25,0.00,0.00,49.60,1.47,0.00
23:56:15.303 [TUNER] 31,1000,0.00,52.80,1.25,0.00,0.00,52.80,1.47,0.00
23:56:15.335 [TUNER] 32,1000,0.00,56.10,1.42,0.00,0.00,56.10,1.66,0.00
23:56:15.372 [TUNER] 33,1000,0.00,59.50,1.42,0.00,0.00,59.50,1.66,0.00
23:56:15.373 [TUNER] 34,1000,0.00,63.00,1.61,0.00,0.00,63.00,1.86,0.00
