00:08:05.113 [TUNER] --- CSV START ---
00:08:05.113 [TUNER] Metadata,Profile(Accel:12.0 Jerk:100.0),PID_0(P:12.38267 I:446.36163 D:0.00000),PID_1(P:13.40700 I:479.74985 D:0.00000)
00:08:05.113 [TUNER] Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
00:08:05.113 [TUNER] 0,0,0.00,0.10,0.09,0.00,0.00,0.10,0.22,0.00
00:08:05.113 [TUNER] 1,975,0.00,0.30,0.09,0.00,0.00,0.30,0.22,0.00
00:08:05.128 [TUNER] 2,1000,0.00,0.60,0.09,0.00,0.00,0.60,0.23,0.00
00:08:05.162 [TUNER] 3,1000,0.00,1.00,0.09,0.00,0.00,1.00,0.23,0.00
00:08:05.163 [TUNER] 4,1000,0.00,1.50,0.11,0.00,0.00,1.50,0.25,0.00
00:08:05.197 [TUNER] 5,1000,0.00,2.10,0.11,0.00,0.00,2.10,0.25,0.00
00:08:05.197 [TUNER] 6,1000,0.00,2.80,0.13,0.00,0.00,2.80,0.27,0.00
00:08:05.233 [TUNER] 7,1000,0.00,3.60,0.13,0.00,0.00,3.60,0.27,0.00
00:08:05.269 [TUNER] 8,1000,0.00,4.50,0.15,0.00,0.00,4.50,0.30,0.00
00:08:05.269 [TUNER] 9,1000,0.00,5.50,0.15,0.00,0.00,5.50,0.30,0.00
00:08:05.304 [TUNER] 10,1000,0.00,6.60,0.19,0.00,0.00,6.60,0.33,0.00
00:08:05.304 [TUNER] 11,1000,0.00,7.80,0.19,0.00,0.00,7.80,0.33,0.00
00:08:05.340 [TUNER] 12,1000,0.00,9.10,0.23,0.00,0.00,9.10,0.38,0.00
00:08:05.373 [TUNER] 13,1000,0.00,10.50,0.23,0.00,0.00,10.50,0.38,0.00
00:08:05.374 [TUNER] 14,1000,0.00,12.00,0.28,0.00,0.00,12.00,0.43,0.00
00:08:05.408 [TUNER] 15,1000,0.00,13.60,0.28,0.00,0.00,13.60,0.43,0.00
00:08:05.409 [TUNER] 16,1000,0.00,15.30,0.34,0.00,0.00,15.30,0.49,0.00
00:08:05.442 [TUNER] 17,1004,0.00,17.10,0.37,0.00,0.00,17.10,0.53,0.00
00:08:05.478 [TUNER] 18,996,0.00,19.00,0.37,0.00,0.00,19.00,0.53,0.00
00:08:05.479 [TUNER] 19,1002,0.00,21.00,0.44,0.00,0.00,21.00,0.60,0.00
00:08:05.513 [TUNER] 20,1000,0.00,23.10,0.44,0.00,0.00,23.10,0.60,0.00
00:08:05.513 [TUNER] 21,998,0.00,25.30,0.52,0.00,0.00,25.30,0.69,0.00
00:08:05.548 [TUNER] 22,1000,0.00,27.60,0.52,0.00,0.00,27.60,0.69,0.00
00:08:05.584 [TUNER] 23,1000,0.00,30.00,0.61,0.00,0.00,30.00,0.78,0.00
00:08:05.585 [TUNER] 24,1000,0.00,32.50,0.61,0.00,0.00,32.50,0.78,0.00
00:08:05.618 [TUNER] 25,1000,1.72,35.10,0.69,0.00,0.00,35.10,0.89,0.00
00:08:05.619 [TUNER] 26,1000,1.72,37.80,0.69,0.00,0.00,37.80,0.89,0.00
00:08:05.653 [TUNER] 27,1000,4.81,40.60,0.75,0.00,5.15,40.60,0.94,0.00
00:08:05.688 [TUNER] 28,1000,4.81,43.50,0.75,0.00,5.15,43.50,0.94,0.00
00:08:05.689 [TUNER] 29,1000,24.47,46.50,0.61,0.00,16.15,46.50,0.90,0.00
00:08:05.725 [TUNER] 30,1000,24.47,49.60,0.61,0.00,16.15,49.60,0.90,0.00
00:08:05.727 [TUNER] 31,1000,50.50,52.80,0.37,0.00,24.95,52.80,0.90,0.00
00:08:05.758 [TUNER] 32,1000,50.50,56.10,0.37,0.00,24.95,56.10,0.90,0.00
00:08:05.794 [TUNER] 33,1000,52.42,59.50,0.44,0.00,30.27,59.50,0.96,0.00
00:08:05.794 [TUNER] 34,1000,52.42,63.00,0.44,0.00,30.27,63.00,0.96,0.00
00:08:05.830 [TUNER] 35,1000,41.94,66.60,0.69,0.00,36.24,66.60,1.01,0.00
00:08:05.830 [TUNER] 36,1000,41.94,70.30,0.69,0.00,36.24,70.30,1.01,0.00
00:08:05.862 [TUNER] 37,1000,33.55,74.10,0.93,0.00,42.74,74.10,1.06,0.00
00:08:05.899 [TUNER] 38,1000,33.55,78.00,0.93,0.00,42.74,78.00,1.06,0.00
00:08:05.900 [TUNER] 39,1000,26.84,82.00,1.17,0.00,51.37,82.00,1.08,0.00
00:08:05.932 [TUNER] 40,1000,26.84,86.10,1.17,0.00,51.37,86.10,1.08,0.00
00:08:05.932 [TUNER] 41,1000,24.91,90.30,1.36,0.00,59.99,90.30,1.12,0.00
00:08:05.967 [TUNER] 42,1000,24.91,94.60,1.36,0.00,59.99,94.60,1.12,0.00
00:08:06.003 [TUNER] 43,1000,37.11,99.00,1.38,0.00,68.61,99.00,1.16,0.00
00:08:06.003 [TUNER] 44,1000,37.11,103.50,1.38,0.00,68.61,103.50,1.16,0.00
00:08:06.040 [TUNER] 45,1000,53.74,108.10,1.35,0.00,84.10,108.10,1.10,0.00
00:08:06.041 [TUNER] 46,1000,53.74,112.80,1.35,0.00,84.10,112.80,1.10,0.00
00:08:06.073 [TUNER] 47,1000,70.48,117.60,1.31,0.00,89.61,117.60,1.19,0.00
00:08:06.074 [TUNER] 48,1000,70.48,122.50,1.31,0.00,89.61,122.50,1.19,0.00
00:08:06.108 [TUNER] 49,1000,87.31,127.50,1.27,0.00,94.02,127.50,1.31,0.00
00:08:06.144 [TUNER] 50,1000,87.31,132.60,1.27,0.00,94.02,132.60,1.31,0.00
00:08:06.145 [TUNER] 51,1000,104.21,137.80,1.23,0.00,99.27,137.80,1.42,0.00
00:08:06.178 [TUNER] 52,1000,104.21,143.10,1.23,0.00,99.27,143.10,1.42,0.00
00:08:06.178 [TUNER] 53,1002,117.57,148.50,1.24,0.00,108.49,148.50,1.49,0.00
00:08:06.213 [TUNER] 54,998,117.57,154.00,1.24,0.00,108.49,154.00,1.49,0.00
00:08:06.213 [TUNER] 55,1000,133.75,159.60,1.21,0.00,117.86,159.60,1.57,0.00
00:08:06.248 [TUNER] 56,1000,133.75,165.30,1.21,0.00,117.86,165.30,1.57,0.00
00:08:06.282 [TUNER] 57,1000,149.95,171.10,1.18,0.00,126.93,171.10,1.65,0.00
00:08:06.282 [TUNER] 58,1000,149.95,177.00,1.18,0.00,126.93,177.00,1.65,0.00
00:08:06.318 [TUNER] 59,1000,162.91,183.00,1.19,0.00,137.62,183.00,1.72,0.00
00:08:06.318 [TUNER] 60,1000,162.91,189.10,1.19,0.00,137.62,189.10,1.72,0.00
00:08:06.352 [TUNER] 61,1000,171.57,195.30,1.27,0.00,151.33,195.30,1.76,0.00
00:08:06.389 [TUNER] 62,1000,171.57,201.60,1.27,0.00,151.33,201.60,1.76,0.00
00:08:06.389 [TUNER] 63,1000,181.92,208.00,1.34,0.00,165.74,208.00,1.79,0.00
00:08:06.423 [TUNER] 64,1000,181.92,214.50,1.34,0.00,165.74,214.50,1.79,0.00
00:08:06.423 [TUNER] 65,1000,191.92,221.10,1.42,0.00,177.26,221.10,1.86,0.00
00:08:06.495 [TUNER] 66,1000,191.92,227.80,1.42,0.00,177.26,227.80,1.86,0.00
00:08:06.496 [TUNER] 67,1000,199.93,234.60,1.53,0.00,191.63,234.60,1.91,0.00
00:08:06.496 [TUNER] 68,1000,199.93,241.50,1.53,0.00,191.63,241.50,1.91,0.00
00:08:06.496 [TUNER] 69,1000,209.77,248.50,1.63,0.00,211.72,248.50,1.87,0.00
00:08:06.529 [TUNER] 70,1000,209.77,255.60,1.63,0.00,211.72,255.60,1.87,0.00
00:08:06.563 [TUNER] 71,1000,219.35,262.80,1.74,0.00,227.79,262.80,1.90,0.00
00:08:06.563 [TUNER] 72,1000,219.35,270.10,1.74,0.00,227.79,270.10,1.90,0.00
00:08:06.599 [TUNER] 73,1000,235.62,277.50,1.77,0.00,252.67,277.50,1.80,0.00
00:08:06.602 [TUNER] 74,1000,235.62,285.00,1.77,0.00,252.67,285.00,1.80,0.00
00:08:06.633 [TUNER] 75,1000,257.21,292.60,1.74,0.00,276.01,292.60,1.72,0.00
00:08:06.668 [TUNER] 76,1000,257.21,300.30,1.74,0.00,276.01,300.30,1.72,0.00
00:08:06.669 [TUNER] 77,1000,271.06,308.10,1.81,0.00,294.69,308.10,1.70,0.00
00:08:06.703 [TUNER] 78,1000,271.06,316.00,1.81,0.00,294.69,316.00,1.70,0.00
00:08:06.703 [TUNER] 79,1000,294.16,324.00,1.76,0.00,311.34,324.00,1.72,0.00
00:08:06.739 [TUNER] 80,1000,294.16,332.10,1.76,0.00,311.34,332.10,1.72,0.00
00:08:06.740 [TUNER] 81,1000,324.67,340.30,1.61,0.00,331.54,340.30,1.69,0.00
00:08:06.773 [TUNER] 82,1000,324.67,348.60,1.61,0.00,331.54,348.60,1.69,0.00
00:08:06.809 [TUNER] 83,1000,343.92,357.00,1.61,0.00,345.98,357.00,1.75,0.00
00:08:06.809 [TUNER] 84,1000,343.92,365.50,1.61,0.00,345.98,365.50,1.75,0.00
00:08:06.842 [TUNER] 85,1000,364.47,374.10,1.59,0.00,350.66,374.10,1.96,0.00
00:08:06.843 [TUNER] 86,1000,364.47,382.80,1.59,0.00,350.66,382.80,1.96,0.00
00:08:06.878 [TUNER] 87,1002,382.54,391.60,1.61,0.00,357.77,391.60,2.15,0.00
00:08:06.878 [TUNER] 88,998,382.54,400.50,1.61,0.00,357.77,400.50,2.15,0.00
00:08:06.913 [TUNER] 89,1000,398.90,409.50,1.66,0.00,370.48,409.50,2.27,0.00
00:08:06.947 [TUNER] 90,1000,398.90,418.60,1.66,0.00,370.48,418.60,2.27,0.00
00:08:06.948 [TUNER] 91,1000,418.77,427.80,1.67,0.00,380.57,427.80,2.44,0.00
00:08:06.982 [TUNER] 92,1000,418.77,437.10,1.67,0.00,380.57,437.10,2.44,0.00
