00:06:54.936 [TUNER] --- CSV START ---
00:06:54.937 [TUNER] Metadata,Profile(Accel:12.0 Jerk:100.0),PID_0(P:10.47029 I:327.93915 D:0.00000),PID_1(P:11.35157 I:352.46927 D:0.00000)
00:06:54.938 [TUNER] Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
00:06:54.938 [TUNER] 0,0,0.00,0.10,0.09,0.00,0.00,0.10,0.22,0.00
00:06:54.953 [TUNER] 1,972,0.00,0.30,0.09,0.00,0.00,0.30,0.22,0.00
00:06:54.987 [TUNER] 2,998,0.00,0.60,0.09,0.00,0.00,0.60,0.23,0.00
00:06:54.987 [TUNER] 3,1000,0.00,1.00,0.10,0.00,0.00,1.00,0.24,0.00
00:06:55.025 [TUNER] 4,1002,0.00,1.50,0.10,0.00,0.00,1.50,0.24,0.00
00:06:55.028 [TUNER] 5,998,0.00,2.10,0.11,0.00,0.00,2.10,0.25,0.00
00:06:55.058 [TUNER] 6,1000,0.00,2.80,0.12,0.00,0.00,2.80,0.26,0.00
00:06:55.059 [TUNER] 7,1000,0.00,3.60,0.12,0.00,0.00,3.60,0.26,0.00
00:06:55.094 [TUNER] 8,1000,0.00,4.50,0.14,0.00,0.00,4.50,0.28,0.00
00:06:55.127 [TUNER] 9,1000,0.00,5.50,0.14,0.00,0.00,5.50,0.28,0.00
00:06:55.127 [TUNER] 10,1000,0.00,6.60,0.17,0.00,0.00,6.60,0.31,0.00
00:06:55.162 [TUNER] 11,1000,0.00,7.80,0.17,0.00,0.00,7.80,0.31,0.00
00:06:55.163 [TUNER] 12,1000,0.00,9.10,0.21,0.00,0.00,9.10,0.35,0.00
00:06:55.199 [TUNER] 13,1000,0.00,10.50,0.21,0.00,0.00,10.50,0.35,0.00
00:06:55.232 [TUNER] 14,1000,0.00,12.00,0.25,0.00,0.00,12.00,0.40,0.00
00:06:55.232 [TUNER] 15,1000,0.00,13.60,0.25,0.00,0.00,13.60,0.40,0.00
00:06:55.268 [TUNER] 16,1000,0.00,15.30,0.29,0.00,0.00,15.30,0.45,0.00
00:06:55.269 [TUNER] 17,1000,0.00,17.10,0.29,0.00,0.00,17.10,0.45,0.00
00:06:55.304 [TUNER] 18,1000,0.00,19.00,0.35,0.00,0.00,19.00,0.51,0.00
00:06:55.339 [TUNER] 19,1000,0.00,21.00,0.35,0.00,0.00,21.00,0.51,0.00
00:06:55.340 [TUNER] 20,1000,0.00,23.10,0.41,0.00,0.00,23.10,0.57,0.00
00:06:55.375 [TUNER] 21,1000,0.00,25.30,0.41,0.00,0.00,25.30,0.57,0.00
00:06:55.376 [TUNER] 22,1000,0.00,27.60,0.48,0.00,0.00,27.60,0.65,0.00
00:06:55.408 [TUNER] 23,1000,0.00,30.00,0.48,0.00,0.00,30.00,0.65,0.00
00:06:55.442 [TUNER] 24,1000,0.00,32.50,0.56,0.00,0.00,32.50,0.73,0.00
00:06:55.442 [TUNER] 25,1000,0.00,35.10,0.56,0.00,0.00,35.10,0.73,0.00
00:06:55.477 [TUNER] 26,1000,0.00,37.80,0.64,0.00,0.00,37.80,0.82,0.00
00:06:55.477 [TUNER] 27,1000,0.00,40.60,0.64,0.00,0.00,40.60,0.82,0.00
00:06:55.513 [TUNER] 28,1000,0.00,43.50,0.74,0.00,0.00,43.50,0.92,0.00
00:06:55.547 [TUNER] 29,1000,0.00,46.50,0.74,0.00,0.00,46.50,0.92,0.00
00:06:55.548 [TUNER] 30,1000,1.72,49.60,0.82,0.00,5.15,49.60,0.97,0.00
00:06:55.583 [TUNER] 31,1000,1.72,52.80,0.82,0.00,5.15,52.80,0.97,0.00
00:06:55.583 [TUNER] 32,1000,4.81,56.10,0.90,0.00,12.71,56.10,1.00,0.00
00:06:55.618 [TUNER] 33,1000,4.81,59.50,0.90,0.00,12.71,59.50,1.00,0.00
00:06:55.655 [TUNER] 34,1000,10.72,63.00,0.95,0.00,23.92,63.00,0.98,0.00
00:06:55.656 [TUNER] 35,1000,10.72,66.60,0.95,0.00,23.92,66.60,0.98,0.00
00:06:55.687 [TUNER] 36,1000,17.17,70.30,1.00,0.00,29.44,70.30,1.04,0.00
00:06:55.689 [TUNER] 37,1000,17.17,74.10,1.00,0.00,29.44,74.10,1.04,0.00
00:06:55.722 [TUNER] 38,1000,27.48,78.00,1.01,0.00,35.58,78.00,1.09,0.00
00:06:55.759 [TUNER] 39,1000,27.48,82.00,1.01,0.00,35.58,82.00,1.09,0.00
00:06:55.759 [TUNER] 40,1000,40.88,86.10,1.00,0.00,42.21,86.10,1.15,0.00
00:06:55.793 [TUNER] 41,1000,40.88,90.30,1.00,0.00,42.21,90.30,1.15,0.00
00:06:55.794 [TUNER] 42,1000,51.60,94.60,1.01,0.00,52.66,94.60,1.17,0.00
00:06:55.829 [TUNER] 43,1000,51.60,99.00,1.01,0.00,52.66,99.00,1.17,0.00
00:06:55.829 [TUNER] 44,1000,61.90,103.50,1.03,0.00,61.03,103.50,1.21,0.00
00:06:55.862 [TUNER] 45,1000,61.90,108.10,1.03,0.00,61.03,108.10,1.21,0.00
00:06:55.900 [TUNER] 46,1000,70.14,112.80,1.08,0.00,67.72,112.80,1.28,0.00
00:06:55.900 [TUNER] 47,1000,70.14,117.60,1.08,0.00,67.72,117.60,1.28,0.00
00:06:55.934 [TUNER] 48,1000,76.73,122.50,1.15,0.00,76.51,122.50,1.33,0.00
00:06:55.935 [TUNER] 49,1000,76.73,127.50,1.15,0.00,76.51,127.50,1.33,0.00
00:06:55.968 [TUNER] 50,1000,88.87,132.60,1.17,0.00,86.98,132.60,1.37,0.00
00:06:55.968 [TUNER] 51,1000,88.87,137.80,1.17,0.00,86.98,137.80,1.37,0.00
00:06:56.002 [TUNER] 52,1000,100.30,143.10,1.20,0.00,97.07,143.10,1.42,0.00
00:06:56.039 [TUNER] 53,1000,100.30,148.50,1.20,0.00,97.07,148.50,1.42,0.00
