I (146188) TUNER: --- CSV START ---
I (146188) TUNER: Metadata,PID_0(P:3.60000 I:120.00000 D:0.00000),PID_1(P:3.60000 I:120.00000 D:0.00000)
I (146188) TUNER: Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
I (146198) TUNER: 0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
I (146208) TUNER: 1,867,0.00,8.02,0.00,0.00,0.00,8.02,0.00,0.00
I (146218) TUNER: 2,1002,0.00,16.04,0.08,0.00,0.00,16.04,0.08,0.00
I (146228) TUNER: 3,998,0.00,24.06,0.08,0.00,0.00,24.06,0.08,0.00
I (146238) TUNER: 4,1002,0.00,32.09,0.16,0.00,0.00,32.09,0.16,0.00
I (146248) TUNER: 5,998,0.00,40.11,0.16,0.00,0.00,40.11,0.16,0.00
I (146258) TUNER: 6,1002,0.00,48.13,0.24,0.00,0.00,48.13,0.24,0.00
I (146268) TUNER: 7,998,0.00,56.15,0.24,0.00,0.00,56.15,0.24,0.00
I (146278) TUNER: 8,1002,0.00,64.17,0.33,0.00,0.00,64.17,0.33,0.00
I (146288) TUNER: 9,998,0.00,72.19,0.33,0.00,0.00,72.19,0.33,0.00
I (146298) TUNER: 10,1002,0.00,80.21,0.42,0.00,0.00,80.21,0.42,0.00
I (146308) TUNER: 11,998,0.00,88.24,0.42,0.00,0.00,88.24,0.42,0.00
I (146318) TUNER: 12,1002,0.00,96.26,0.51,0.00,0.00,96.26,0.51,0.00
I (146328) TUNER: 13,998,0.00,104.28,0.51,0.00,0.00,104.28,0.51,0.00
I (146338) TUNER: 14,1003,3.44,112.30,0.60,0.00,0.00,112.30,0.61,0.00
I (146348) TUNER: 15,997,3.44,120.32,0.60,0.00,0.00,120.32,0.61,0.00
I (146358) TUNER: 16,1003,11.34,128.34,0.67,0.00,0.86,128.34,0.71,0.00
I (146368) TUNER: 17,997,11.34,136.36,0.67,0.00,0.86,136.36,0.71,0.00
I (146378) TUNER: 18,1003,16.80,144.39,0.75,0.00,2.41,144.39,0.81,0.00
I (146388) TUNER: 19,997,16.80,152.41,0.75,0.00,2.41,152.41,0.81,0.00
I (146398) TUNER: 20,1003,18.60,160.43,0.85,0.00,7.94,160.43,0.90,0.00
I (146408) TUNER: 21,997,18.60,168.45,0.85,0.00,7.94,168.45,0.90,0.00
I (146418) TUNER: 22,1003,20.03,176.47,0.96,0.00,13.22,176.47,0.99,0.00
I (146428) TUNER: 23,997,20.03,184.49,0.96,0.00,13.22,184.49,0.99,0.00
I (146438) TUNER: 24,1003,24.62,192.51,1.06,0.00,19.17,192.51,1.09,0.00
I (146448) TUNER: 25,997,24.62,200.53,1.06,0.00,19.17,200.53,1.09,0.00
I (146458) TUNER: 26,1003,31.72,208.56,1.14,0.00,25.64,208.56,1.18,0.00
I (146468) TUNER: 27,997,31.72,216.58,1.14,0.00,25.64,216.58,1.18,0.00
I (146478) TUNER: 28,1003,38.26,224.60,1.24,0.00,35.12,224.60,1.26,0.00
I (146488) TUNER: 29,997,38.26,232.62,1.24,0.00,35.12,232.62,1.26,0.00
I (146498) TUNER: 30,1003,46.07,240.64,1.33,0.00,47.85,240.64,1.34,0.00
I (146508) TUNER: 31,997,46.07,248.66,1.33,0.00,47.85,248.66,1.34,0.00
I (146518) TUNER: 32,1003,53.18,256.68,1.42,0.00,61.48,256.68,1.41,0.00
I (146528) TUNER: 33,997,53.18,264.71,1.42,0.00,61.48,264.71,1.41,0.00
I (146538) TUNER: 34,1003,64.88,272.73,1.50,0.00,70.66,272.73,1.49,0.00
I (146548) TUNER: 35,997,64.88,280.75,1.50,0.00,70.66,280.75,1.49,0.00
I (146558) TUNER: 36,1003,75.95,288.77,1.59,0.00,82.30,288.77,1.57,0.00
I (146568) TUNER: 37,997,75.95,296.79,1.59,0.00,82.30,296.79,1.57,0.00
I (146578) TUNER: 38,1003,89.11,304.81,1.66,0.01,91.61,304.81,1.66,0.01
I (146588) TUNER: 39,997,89.11,312.83,1.66,0.01,91.61,312.83,1.66,0.01
I (146598) TUNER: 40,1003,97.06,320.86,1.76,0.01,101.63,320.86,1.75,0.01
I (146608) TUNER: 41,997,97.06,328.88,1.76,0.01,101.63,328.88,1.75,0.01
I (146618) TUNER: 42,1003,106.00,336.90,1.86,0.01,116.53,336.90,1.82,0.01
I (146628) TUNER: 43,997,106.00,344.92,1.86,0.01,116.53,344.92,1.82,0.01
I (146638) TUNER: 44,1003,127.75,352.94,1.90,0.01,130.16,352.94,1.90,0.01
I (146648) TUNER: 45,997,127.75,360.96,1.90,0.01,130.16,360.96,1.90,0.01
I (146658) TUNER: 46,1059,152.36,368.98,1.94,0.01,140.08,368.98,1.99,0.01
I (146668) TUNER: 47,941,152.36,377.01,1.94,0.01,140.08,377.01,1.99,0.01
I (146678) TUNER: 48,1003,167.82,385.03,2.01,0.01,155.34,385.03,2.06,0.01
I (146688) TUNER: 49,997,167.82,393.05,2.01,0.01,155.34,393.05,2.06,0.01
I (146698) TUNER: 50,1003,186.66,401.07,2.06,0.01,177.54,401.07,2.11,0.01
I (146708) TUNER: 51,997,186.66,409.09,2.06,0.01,177.54,409.09,2.11,0.01
