I (15814) MCH: --- CSV START ---
I (15814) MCH: Metadata,Voltage:1.0V,Duration:1000ms
I (15814) MCH: Point,DeltaTime_us,Vel_Left_m_s,Vel_Right_m_s
I (15814) MCH: 0,0,0.041,0.043
I (15814) MCH: 1,9939,0.153,0.159
I (15814) MCH: 2,10000,0.277,0.292
I (15824) MCH: 3,10000,0.402,0.419
I (15824) MCH: 4,10000,0.514,0.539
I (15824) MCH: 5,10000,0.613,0.638
I (15834) MCH: 6,10000,0.689,0.715
I (15834) MCH: 7,10000,0.755,0.781
I (15834) MCH: 8,10000,0.813,0.839
I (15834) MCH: 9,10000,0.856,0.883
I (15844) MCH: 10,10000,0.895,0.917
I (15844) MCH: 11,10000,0.924,0.948
I (15844) MCH: 12,10000,0.943,0.970
I (15854) MCH: 13,10000,0.964,0.991
I (15854) MCH: 14,10000,0.981,1.010
I (15854) MCH: 15,10000,0.992,1.015
I (15864) MCH: 16,10000,1.000,1.031
I (15864) MCH: 17,10000,1.008,1.036
I (15864) MCH: 18,10000,1.012,1.043
I (15874) MCH: 19,10000,1.023,1.051
I (15874) MCH: 20,10000,1.026,1.059
I (15874) MCH: 21,10000,1.028,1.058
I (15884) MCH: 22,10000,1.038,1.065
I (15884) MCH: 23,10000,1.033,1.058
I (15884) MCH: 24,10000,1.037,1.064
I (15894) MCH: 25,10000,1.038,1.068
I (15894) MCH: 26,10000,1.039,1.063
I (15894) MCH: 27,10000,1.042,1.076
I (15904) MCH: 28,10000,1.040,1.068
I (15904) MCH: 29,10000,1.040,1.075
I (15904) MCH: 30,10000,1.047,1.069
I (15914) MCH: 31,10000,1.045,1.061
I (15914) MCH: 32,10000,1.046,1.066
I (15914) MCH: 33,10000,1.049,1.071
I (15924) MCH: 34,10000,1.045,1.068
I (15924) MCH: 35,10000,1.054,1.072
I (15924) MCH: 36,10000,1.048,1.066
I (15924) MCH: 37,10000,1.051,1.075
I (15934) MCH: 38,10000,1.054,1.072
I (15934) MCH: 39,10000,1.051,1.070
I (15934) MCH: 40,10000,1.056,1.071
I (15944) MCH: 41,10000,1.053,1.074
I (15944) MCH: 42,10000,1.057,1.072
I (15944) MCH: 43,10000,1.059,1.070
I (15954) MCH: 44,10000,1.056,1.069
I (15954) MCH: 45,10000,1.059,1.071
I (15954) MCH: 46,10000,1.059,1.075
I (15964) MCH: 47,10000,1.060,1.074
I (15964) MCH: 48,10000,1.059,1.075
I (15964) MCH: 49,10000,1.058,1.075
I (15974) MCH: 50,10000,1.064,1.078
I (15974) MCH: 51,10000,1.060,1.073
I (15974) MCH: 52,10000,1.065,1.074
I (15984) MCH: 53,10000,1.061,1.073
I (15984) MCH: 54,10000,1.057,1.072
I (15984) MCH: 55,10000,1.065,1.073
I (15994) MCH: 56,10000,1.059,1.067
I (15994) MCH: 57,10000,1.060,1.074
I (15994) MCH: 58,10000,1.057,1.068
I (16004) MCH: 59,10000,1.057,1.070
I (16004) MCH: 60,10000,1.061,1.071
I (16004) MCH: 61,10000,1.057,1.070
I (16014) MCH: 62,10000,1.054,1.069
I (16014) MCH: 63,10000,1.059,1.074
I (16014) MCH: 64,10003,1.055,1.065
I (16014) MCH: 65,9997,1.052,1.065
I (16024) MCH: 66,10000,1.051,1.071
I (16024) MCH: 67,10000,1.056,1.067
I (16024) MCH: 68,10000,1.050,1.068
I (16034) MCH: 69,10000,1.051,1.068
I (16034) MCH: 70,10000,1.051,1.073
I (16034) MCH: 71,10000,1.051,1.075
I (16044) MCH: 72,10000,1.055,1.069
I (16044) MCH: 73,10000,1.049,1.074
I (16044) MCH: 74,10000,1.047,1.073
I (16054) MCH: 75,10000,1.048,1.073
I (16054) MCH: 76,10000,1.047,1.075
I (16054) MCH: 77,10000,1.049,1.072
I (16064) MCH: 78,10000,1.045,1.080
I (16064) MCH: 79,10000,1.043,1.079
I (16064) MCH: 80,10000,1.050,1.078
I (16074) MCH: 81,10000,1.045,1.069
I (16074) MCH: 82,10000,1.046,1.074
I (16074) MCH: 83,10000,1.049,1.075
I (16084) MCH: 84,10000,1.047,1.078
I (16084) MCH: 85,10000,1.049,1.073
I (16084) MCH: 86,10000,1.048,1.073
I (16094) MCH: 87,10000,1.046,1.075
I (16094) MCH: 88,10000,1.051,1.075
I (16094) MCH: 89,10000,1.048,1.070
I (16094) MCH: 90,10000,1.049,1.068
I (16104) MCH: 91,10000,1.049,1.071
I (16104) MCH: 92,10000,1.049,1.071
I (16104) MCH: 93,10000,1.053,1.072
I (16114) MCH: 94,10000,1.052,1.076
I (16114) MCH: 95,10000,1.053,1.069
I (16114) MCH: 96,10000,1.056,1.075
I (16124) MCH: 97,10000,1.060,1.064
I (16124) MCH: 98,10000,1.058,1.074
