I (10234) MCH: --- CSV START ---
I (10234) MCH: Metadata,Voltage:1.0V,Duration:800ms
I (10234) MCH: Point,DeltaTime_us,Vel_Left_m_s,Vel_Right_m_s
I (10234) MCH: 0,0,0.009,0.007
I (10234) MCH: 1,9926,0.026,0.024
I (10234) MCH: 2,10020,0.055,0.046
I (10234) MCH: 3,9983,0.085,0.073
I (10234) MCH: 4,9997,0.121,0.113
I (10234) MCH: 5,10000,0.154,0.150
I (10234) MCH: 6,10000,0.190,0.187
I (10234) MCH: 7,10000,0.226,0.232
I (10234) MCH: 8,10000,0.265,0.267
I (10234) MCH: 9,10000,0.301,0.310
I (10234) MCH: 10,10000,0.338,0.345
I (10234) MCH: 11,10000,0.371,0.387
I (10234) MCH: 12,10000,0.410,0.423
I (10234) MCH: 13,10000,0.444,0.448
I (10234) MCH: 14,10000,0.472,0.482
I (10234) MCH: 15,10000,0.512,0.516
I (10234) MCH: 16,10000,0.533,0.545
I (10234) MCH: 17,10000,0.563,0.572
I (10234) MCH: 18,10000,0.590,0.597
I (10234) MCH: 19,10000,0.618,0.623
I (10234) MCH: 20,10000,0.643,0.650
I (10234) MCH: 21,10000,0.664,0.670
I (10234) MCH: 22,10000,0.681,0.691
I (10234) MCH: 23,10000,0.710,0.710
I (10234) MCH: 24,10000,0.719,0.725
I (10234) MCH: 25,10000,0.741,0.745
I (10234) MCH: 26,10000,0.756,0.762
I (10234) MCH: 27,10000,0.775,0.779
I (10234) MCH: 28,10000,0.787,0.796
I (10234) MCH: 29,10000,0.804,0.809
I (10234) MCH: 30,10000,0.818,0.823
I (10234) MCH: 31,10000,0.833,0.836
I (10234) MCH: 32,10000,0.843,0.848
I (10234) MCH: 33,10000,0.852,0.856
I (10234) MCH: 34,10000,0.856,0.863
I (10234) MCH: 35,10000,0.870,0.870
I (10234) MCH: 36,10000,0.881,0.881
I (10234) MCH: 37,10000,0.893,0.888
I (10234) MCH: 38,10000,0.898,0.898
I (10234) MCH: 39,10000,0.907,0.902
I (10234) MCH: 40,10000,0.909,0.910
I (10234) MCH: 41,10000,0.916,0.923
I (10234) MCH: 42,10000,0.919,0.929
I (10234) MCH: 43,10000,0.929,0.932
I (10234) MCH: 44,10000,0.932,0.935
I (10234) MCH: 45,10000,0.939,0.937
I (10234) MCH: 46,10000,0.944,0.947
I (10234) MCH: 47,10000,0.944,0.952
I (10234) MCH: 48,10000,0.948,0.952
I (10234) MCH: 49,10000,0.950,0.952
I (10234) MCH: 50,10000,0.958,0.960
I (10234) MCH: 51,10000,0.953,0.965
I (10234) MCH: 52,10000,0.962,0.970
I (10234) MCH: 53,10000,0.958,0.971
I (10234) MCH: 54,10000,0.964,0.973
I (10234) MCH: 55,10000,0.969,0.980
I (10234) MCH: 56,10000,0.968,0.984
I (10234) MCH: 57,10000,0.971,0.979
I (10234) MCH: 58,10000,0.971,0.980
I (10234) MCH: 59,10000,0.983,0.988
I (10234) MCH: 60,10000,0.979,0.988
I (10234) MCH: 61,10000,0.984,0.992
I (10234) MCH: 62,10000,0.980,0.987
I (10234) MCH: 63,10000,0.988,0.994
I (10234) MCH: 64,10000,0.989,0.992
I (10234) MCH: 65,10000,0.985,0.992
I (10234) MCH: 66,10000,0.988,0.987
I (10234) MCH: 67,10000,0.992,0.994
I (10234) MCH: 68,10000,0.993,0.997
I (10234) MCH: 69,10000,0.991,0.999
I (10234) MCH: 70,10000,0.995,1.001
I (10234) MCH: 71,10000,0.998,0.999
I (10234) MCH: 72,10000,0.998,0.998
I (10234) MCH: 73,10000,0.997,0.999
I (10234) MCH: 74,10000,0.997,1.010
I (10234) MCH: 75,10009,1.004,1.003
I (10234) MCH: 76,9991,1.001,1.007
I (10234) MCH: 77,10000,1.001,1.011
I (10234) MCH: 78,10000,1.006,1.007
I (10234) MCH: 79,10000,0.999,1.006
I (10234) MCH: --- CSV END ---
I (10234) MCH: Ready for next step: 2.0V. Send 'MPASS' to start.
I (10234) MCH: Ready for step 2/12 (2.0V). Send 'PASS' to start or 'ABORT' to cancel.
I (10234) PAS:
I (10234) MCH: Running step 2/12: Applying 2.0V for 800 ms...
I (10234) MCH: --- CSV START ---
I (10234) MCH: Metadata,Voltage:2.0V,Duration:800ms
I (10234) MCH: Point,DeltaTime_us,Vel_Left_m_s,Vel_Right_m_s
I (10234) MCH: 0,0,0.012,0.016
I (10234) MCH: 1,9918,0.042,0.051
I (10234) MCH: 2,10000,0.092,0.112
I (10234) MCH: 3,10000,0.156,0.181
I (10234) MCH: 4,10000,0.220,0.252
I (10234) MCH: 5,10000,0.290,0.321
I (10234) MCH: 6,10000,0.361,0.396
I (10234) MCH: 7,10000,0.436,0.473
I (10234) MCH: 8,10000,0.507,0.549
I (10234) MCH: 9,10000,0.585,0.631
I (10234) MCH: 10,10000,0.650,0.698
I (10234) MCH: 11,10000,0.721,0.767
I (10234) MCH: 12,10000,0.794,0.834
I (10234) MCH: 13,10000,0.851,0.899
I (10234) MCH: 14,10000,0.923,0.961
I (10234) MCH: 15,10000,0.985,1.026
I (10234) MCH: 16,10000,1.036,1.078
I (10234) MCH: 17,10000,1.103,1.142
I (10234) MCH: 18,10000,1.144,1.181
I (10234) MCH: 19,10000,1.197,1.231
I (10234) MCH: 20,10000,1.239,1.275
I (10234) MCH: 21,10000,1.277,1.315
I (10234) MCH: 22,10000,1.320,1.356
I (10234) MCH: 23,10000,1.362,1.394
I (10234) MCH: 24,10000,1.401,1.427
I (10234) MCH: 25,10000,1.433,1.466
I (10234) MCH: 26,10000,1.466,1.493
I (10234) MCH: 27,10000,1.502,1.531
I (10234) MCH: 28,10000,1.522,1.556
I (10234) MCH: 29,10000,1.567,1.591
I (10234) MCH: 30,10000,1.585,1.615
I (10234) MCH: 31,10000,1.614,1.638
I (10234) MCH: 32,10000,1.636,1.665
I (10234) MCH: 33,10000,1.651,1.686
I (10234) MCH: 34,10000,1.679,1.708
I (10234) MCH: 35,10000,1.696,1.726
I (10234) MCH: 36,10000,1.714,1.747
I (10234) MCH: 37,10000,1.734,1.765
I (10234) MCH: 38,10000,1.749,1.781
I (10234) MCH: 39,10000,1.770,1.798
I (10234) MCH: 40,10000,1.793,1.819
I (10234) MCH: 41,10000,1.807,1.828
I (10234) MCH: 42,10000,1.816,1.849
