14:25:31.722 [MCH] --- CSV START ---
14:25:31.722 [MCH] Metadata,Voltage:0.5V,Duration:2000ms
14:25:31.722 [MCH] Point,DeltaTime_us,Vel_Left_m_s,Vel_Right_m_s
14:25:31.722 [MCH] 0,0,0.001,0.002
14:25:31.745 [MCH] 1,9942,0.009,0.008
14:25:31.745 [MCH] 2,9990,0.017,0.017
14:25:31.787 [MCH] 3,10000,0.025,0.029
14:25:31.787 [MCH] 4,10000,0.032,0.040
14:25:31.830 [MCH] 5,10000,0.038,0.051
14:25:31.831 [MCH] 6,10000,0.044,0.063
14:25:31.871 [MCH] 7,10000,0.054,0.078
14:25:31.872 [MCH] 8,10000,0.065,0.089
14:25:31.872 [MCH] 9,10000,0.077,0.099
14:25:31.914 [MCH] 10,10000,0.096,0.107
14:25:31.914 [MCH] 11,10000,0.107,0.117
14:25:31.957 [MCH] 12,10000,0.117,0.126
14:25:32.000 [MCH] 13,10000,0.134,0.139
14:25:32.001 [MCH] 14,10000,0.146,0.150
14:25:32.001 [MCH] 15,10000,0.157,0.159
14:25:32.040 [MCH] 16,10000,0.168,0.168
14:25:32.041 [MCH] 17,10000,0.176,0.182
14:25:32.084 [MCH] 18,10000,0.191,0.193
14:25:32.084 [MCH] 19,10000,0.202,0.201
14:25:32.128 [MCH] 20,10000,0.209,0.208
14:25:32.129 [MCH] 21,10000,0.221,0.223
14:25:32.169 [MCH] 22,10000,0.228,0.233
14:25:32.169 [MCH] 23,10000,0.241,0.241
14:25:32.211 [MCH] 24,10000,0.249,0.256
14:25:32.211 [MCH] 25,10000,0.257,0.262
14:25:32.212 [MCH] 26,10000,0.267,0.265
14:25:32.254 [MCH] 27,10000,0.277,0.277
14:25:32.255 [MCH] 28,10000,0.281,0.282
14:25:32.297 [MCH] 29,10000,0.286,0.287
14:25:32.297 [MCH] 30,10000,0.294,0.300
14:25:32.339 [MCH] 31,10000,0.299,0.307
14:25:32.340 [MCH] 32,10000,0.301,0.312
14:25:32.382 [MCH] 33,10000,0.307,0.320
14:25:32.382 [MCH] 34,10000,0.310,0.324
14:25:32.423 [MCH] 35,10000,0.311,0.335
14:25:32.424 [MCH] 36,10000,0.318,0.336
14:25:32.464 [MCH] 37,10000,0.322,0.335
14:25:32.464 [MCH] 38,10000,0.327,0.344
14:25:32.513 [MCH] 39,10000,0.331,0.340
14:25:32.513 [MCH] 40,10000,0.329,0.348
14:25:32.550 [MCH] 41,10000,0.334,0.349
14:25:32.550 [MCH] 42,10000,0.337,0.351
14:25:32.550 [MCH] 43,10000,0.338,0.355
14:25:32.593 [MCH] 44,10000,0.337,0.349
14:25:32.593 [MCH] 45,10000,0.338,0.357
14:25:32.636 [MCH] 46,10000,0.342,0.354
14:25:32.636 [MCH] 47,10000,0.345,0.356
14:25:32.679 [MCH] 48,10000,0.345,0.361
14:25:32.679 [MCH] 49,10000,0.349,0.357
14:25:32.722 [MCH] 50,10000,0.347,0.362
14:25:32.722 [MCH] 51,10000,0.350,0.358
14:25:32.765 [MCH] 52,10000,0.355,0.363
14:25:32.765 [MCH] 53,10000,0.357,0.365
14:25:32.808 [MCH] 54,10000,0.357,0.367
14:25:32.809 [MCH] 55,10000,0.356,0.372
14:25:32.849 [MCH] 56,10000,0.358,0.369
14:25:32.849 [MCH] 57,10000,0.359,0.378
14:25:32.892 [MCH] 58,10000,0.360,0.381
14:25:32.892 [MCH] 59,10000,0.359,0.385
14:25:32.892 [MCH] 60,10000,0.357,0.382
14:25:32.933 [MCH] 61,10000,0.360,0.382
14:25:32.933 [MCH] 62,10000,0.363,0.383
14:25:32.977 [MCH] 63,10000,0.367,0.381
14:25:32.977 [MCH] 64,10000,0.369,0.396
14:25:33.019 [MCH] 65,10000,0.369,0.390
14:25:33.020 [MCH] 66,10000,0.372,0.388
14:25:33.061 [MCH] 67,10000,0.366,0.382
14:25:33.062 [MCH] 68,10000,0.364,0.384
14:25:33.106 [MCH] 69,10000,0.367,0.379
14:25:33.106 [MCH] 70,10000,0.368,0.375
14:25:33.147 [MCH] 71,10000,0.368,0.380
14:25:33.149 [MCH] 72,10000,0.364,0.374
14:25:33.188 [MCH] 73,10000,0.367,0.380
14:25:33.188 [MCH] 74,10000,0.364,0.376
14:25:33.231 [MCH] 75,10000,0.369,0.377
14:25:33.231 [MCH] 76,10000,0.372,0.379
14:25:33.231 [MCH] 77,10000,0.375,0.379
14:25:33.274 [MCH] 78,10000,0.375,0.385
14:25:33.275 [MCH] 79,10000,0.373,0.382
14:25:33.317 [MCH] 80,10000,0.375,0.387
14:25:33.318 [MCH] 81,10000,0.373,0.388
14:25:33.359 [MCH] 82,10000,0.374,0.393
14:25:33.359 [MCH] 83,10000,0.373,0.392
14:25:33.407 [MCH] 84,10000,0.373,0.394
14:25:33.408 [MCH] 85,10000,0.374,0.394
14:25:33.444 [MCH] 86,10000,0.373,0.396
14:25:33.444 [MCH] 87,10000,0.373,0.396
14:25:33.485 [MCH] 88,10000,0.372,0.393
14:25:33.486 [MCH] 89,10000,0.374,0.398
14:25:33.527 [MCH] 90,10000,0.376,0.390
14:25:33.528 [MCH] 91,10000,0.372,0.396
14:25:33.573 [MCH] 92,10000,0.371,0.388
14:25:33.573 [MCH] 93,10000,0.369,0.389
14:25:33.573 [MCH] 94,10000,0.373,0.388
14:25:33.615 [MCH] 95,10000,0.374,0.388
14:25:33.615 [MCH] 96,10000,0.374,0.389
14:25:33.656 [MCH] 97,10000,0.373,0.384
14:25:33.657 [MCH] 98,10000,0.375,0.387
14:25:33.699 [MCH] 99,10000,0.379,0.386
14:25:33.699 [MCH] 100,10000,0.378,0.393
14:25:33.743 [MCH] 101,10000,0.377,0.392
14:25:33.743 [MCH] 102,10000,0.378,0.395
14:25:33.782 [MCH] 103,10000,0.380,0.397
14:25:33.782 [MCH] 104,10000,0.378,0.400
14:25:33.827 [MCH] 105,10000,0.376,0.399
14:25:33.828 [MCH] 106,10000,0.375,0.397
14:25:33.869 [MCH] 107,10000,0.372,0.401
14:25:33.869 [MCH] 108,10000,0.377,0.398
14:25:33.912 [MCH] 109,10000,0.380,0.402
14:25:33.912 [MCH] 110,10000,0.380,0.396
14:25:33.913 [MCH] 111,10000,0.378,0.399
14:25:33.956 [MCH] 112,10000,0.375,0.395
14:25:33.956 [MCH] 113,10000,0.380,0.396
14:25:34.002 [MCH] 114,10000,0.374,0.393
14:25:34.002 [MCH] 115,10000,0.373,0.392
14:25:34.038 [MCH] 116,10000,0.373,0.395
14:25:34.038 [MCH] 117,10000,0.375,0.390
14:25:34.081 [MCH] 118,10000,0.376,0.395
14:25:34.082 [MCH] 119,10000,0.374,0.388
14:25:34.124 [MCH] 120,10000,0.375,0.392
14:25:34.124 [MCH] 121,10000,0.374,0.390
14:25:34.168 [MCH] 122,10000,0.378,0.395
14:25:34.168 [MCH] 123,10000,0.382,0.395
14:25:34.209 [MCH] 124,10000,0.382,0.396
14:25:34.210 [MCH] 125,10000,0.383,0.400
14:25:34.251 [MCH] 126,10000,0.382,0.397
14:25:34.252 [MCH] 127,10000,0.380,0.401
14:25:34.253 [MCH] 128,10000,0.375,0.396
14:25:34.294 [MCH] 129,10000,0.375,0.402
14:25:34.295 [MCH] 130,10000,0.374,0.396
14:25:34.334 [MCH] 131,10000,0.377,0.402
14:25:34.334 [MCH] 132,10000,0.376,0.398
14:25:34.376 [MCH] 133,10000,0.376,0.400
14:25:34.377 [MCH] 134,10000,0.375,0.397
14:25:34.422 [MCH] 135,10000,0.370,0.395
14:25:34.422 [MCH] 136,10000,0.374,0.395
14:25:34.463 [MCH] 137,10000,0.372,0.389
14:25:34.463 [MCH] 138,10000,0.373,0.394
14:25:34.507 [MCH] 139,10000,0.370,0.387
14:25:34.508 [MCH] 140,10000,0.367,0.391
14:25:34.549 [MCH] 141,10000,0.372,0.385
14:25:34.549 [MCH] 142,10000,0.370,0.385
14:25:34.590 [MCH] 143,10000,0.373,0.386
14:25:34.591 [MCH] 144,10000,0.373,0.386
14:25:34.633 [MCH] 145,10000,0.376,0.391
14:25:34.635 [MCH] 146,10000,0.378,0.387
14:25:34.636 [MCH] 147,10000,0.374,0.392
14:25:34.678 [MCH] 148,10000,0.376,0.391
14:25:34.679 [MCH] 149,10000,0.374,0.392
14:25:34.719 [MCH] 150,10000,0.376,0.391
14:25:34.720 [MCH] 151,10000,0.373,0.390
14:25:34.763 [MCH] 152,10000,0.371,0.391
14:25:34.764 [MCH] 153,10000,0.371,0.390
14:25:34.805 [MCH] 154,10000,0.367,0.392
14:25:34.806 [MCH] 155,10000,0.369,0.387
14:25:34.846 [MCH] 156,10000,0.369,0.392
14:25:34.846 [MCH] 157,10000,0.370,0.384
14:25:34.888 [MCH] 158,10000,0.367,0.387
14:25:34.889 [MCH] 159,10000,0.361,0.384
14:25:34.932 [MCH] 160,10000,0.366,0.383
14:25:34.933 [MCH] 161,10000,0.361,0.386
14:25:34.934 [MCH] 162,10000,0.363,0.378
14:25:34.974 [MCH] 163,10000,0.363,0.384
14:25:34.974 [MCH] 164,10000,0.361,0.376
14:25:35.016 [MCH] 165,10000,0.364,0.378
14:25:35.017 [MCH] 166,10000,0.361,0.378
14:25:35.058 [MCH] 167,10000,0.365,0.381
14:25:35.058 [MCH] 168,10000,0.366,0.383
14:25:35.101 [MCH] 169,10000,0.368,0.379
14:25:35.102 [MCH] 170,10000,0.370,0.385
14:25:35.146 [MCH] 171,10000,0.367,0.382
14:25:35.147 [MCH] 172,10000,0.368,0.384
14:25:35.186 [MCH] 173,10000,0.367,0.383
14:25:35.186 [MCH] 174,10000,0.368,0.385
14:25:35.229 [MCH] 175,10000,0.369,0.386
14:25:35.229 [MCH] 176,10000,0.362,0.385
14:25:35.271 [MCH] 177,10000,0.364,0.389
14:25:35.271 [MCH] 178,10000,0.360,0.383
14:25:35.272 [MCH] 179,10000,0.360,0.384
14:25:35.311 [MCH] 180,10000,0.363,0.379
14:25:35.312 [MCH] 181,10000,0.363,0.380
14:25:35.355 [MCH] 182,10000,0.365,0.377
14:25:35.356 [MCH] 183,10000,0.357,0.374
14:25:35.400 [MCH] 184,10000,0.361,0.379
14:25:35.403 [MCH] 185,10000,0.360,0.373
14:25:35.439 [MCH] 186,10000,0.360,0.379
14:25:35.440 [MCH] 187,10000,0.357,0.374
14:25:35.483 [MCH] 188,10000,0.356,0.374
14:25:35.483 [MCH] 189,10000,0.357,0.373
14:25:35.526 [MCH] 190,10000,0.360,0.373
14:25:35.526 [MCH] 191,10000,0.361,0.378
14:25:35.567 [MCH] 192,10000,0.362,0.376
14:25:35.568 [MCH] 193,10000,0.361,0.381
14:25:35.612 [MCH] 194,10000,0.364,0.379
14:25:35.612 [MCH] 195,10000,0.362,0.381
14:25:35.614 [MCH] 196,10000,0.367,0.380
14:25:35.654 [MCH] 197,10000,0.367,0.378
14:25:35.654 [MCH] 198,10000,0.364,0.380
14:25:35.697 [MCH] 199,10000,0.362,0.379
14:25:35.697 [MCH] --- CSV END ---
14:25:35.697 [MCH] Ready for next step: 1.0V. Send 'MPASS' to start.
14:25:35.698 [MCH] Ready for step 2/13 (1.0V). Send 'PASS' to start or 'ABORT' to cancel.
14:25:39.599 MPASS
14:25:39.818 [MCH] Running step 2/13: Applying 1.0V for 2000 ms...
14:25:41.877 [MCH] --- CSV START ---
14:25:41.879 [MCH] Metadata,Voltage:1.0V,Duration:2000ms
14:25:41.879 [MCH] Point,DeltaTime_us,Vel_Left_m_s,Vel_Right_m_s
14:25:41.881 [MCH] 0,0,0.005,0.010
14:25:41.900 [MCH] 1,9933,0.024,0.025
14:25:41.901 [MCH] 2,10007,0.047,0.051
14:25:41.901 [MCH] 3,9993,0.070,0.081
14:25:41.945 [MCH] 4,10000,0.101,0.112
