22:33:24.926 [MCH] --- CSV START ---
22:33:24.926 [MCH] Metadata,Voltage:0.5V,Duration:1000ms
22:33:24.926 [MCH] Point,DeltaTime_us,Vel_Left_m_s,Vel_Right_m_s
22:33:24.927 [MCH] 0,0,0.000,0.000
22:33:24.927 [MCH] 1,9581,0.000,0.000
22:33:24.948 [MCH] 2,10105,0.000,0.000
22:33:24.949 [MCH] 3,9897,0.000,0.000
22:33:24.989 [MCH] 4,9991,0.001,0.000
22:33:24.991 [MCH] 5,10000,0.001,0.000
22:33:24.991 [MCH] 6,10000,0.001,0.000
22:33:25.033 [MCH] 7,10000,0.001,0.000
22:33:25.033 [MCH] 8,10000,0.001,0.000
22:33:25.076 [MCH] 9,10010,0.001,0.000
22:33:25.077 [MCH] 10,10075,0.001,0.000
22:33:25.119 [MCH] 11,9922,0.001,0.000
22:33:25.120 [MCH] 12,9993,0.000,0.000
22:33:25.161 [MCH] 13,10000,0.000,0.000
22:33:25.161 [MCH] 14,10000,0.000,0.000
22:33:25.205 [MCH] 15,10000,0.000,0.000
22:33:25.205 [MCH] 16,10000,0.000,0.000
22:33:25.247 [MCH] 17,10000,0.000,0.000
22:33:25.247 [MCH] 18,10000,0.000,0.000
22:33:25.289 [MCH] 19,10000,0.000,0.000
22:33:25.291 [MCH] 20,10000,0.000,0.000
22:33:25.332 [MCH] 21,10000,0.000,0.000
22:33:25.332 [MCH] 22,10000,0.000,0.000
22:33:25.333 [MCH] 23,10000,0.000,0.000
22:33:25.374 [MCH] 24,10000,0.000,0.000
22:33:25.374 [MCH] 25,10000,0.000,0.000
22:33:25.417 [MCH] 26,10000,0.000,0.000
22:33:25.417 [MCH] 27,10084,0.000,0.000
22:33:25.458 [MCH] 28,9916,0.000,0.000
22:33:25.459 [MCH] 29,10000,0.000,0.000
22:33:25.501 [MCH] 30,10000,0.000,0.000
22:33:25.502 [MCH] 31,10000,0.000,0.000
22:33:25.544 [MCH] 32,10000,0.000,0.000
22:33:25.545 [MCH] 33,10000,0.000,0.000
22:33:25.590 [MCH] 34,10000,0.000,0.000
22:33:25.591 [MCH] 35,10000,0.000,0.000
22:33:25.628 [MCH] 36,10000,0.000,0.000
22:33:25.629 [MCH] 37,10000,0.000,0.000
22:33:25.675 [MCH] 38,10021,0.000,0.000
22:33:25.675 [MCH] 39,9979,0.000,0.000
22:33:25.676 [MCH] 40,10011,0.000,0.000
22:33:25.714 [MCH] 41,9989,0.000,0.000
22:33:25.714 [MCH] 42,10000,0.000,0.000
22:33:25.756 [MCH] 43,10000,0.000,0.000
22:33:25.756 [MCH] 44,10084,0.000,0.000
22:33:25.802 [MCH] 45,9916,0.000,0.000
22:33:25.802 [MCH] 46,10000,0.000,0.000
22:33:25.840 [MCH] 47,10000,0.000,0.000
22:33:25.840 [MCH] 48,10000,0.000,0.000
22:33:25.886 [MCH] 49,10000,0.000,0.000
22:33:25.886 [MCH] 50,10000,0.000,0.000
22:33:25.927 [MCH] 51,10000,0.000,0.000
22:33:25.927 [MCH] 52,10000,0.000,0.000
22:33:25.967 [MCH] 53,10000,0.000,0.000
22:33:25.967 [MCH] 54,10000,0.000,0.000
22:33:26.012 [MCH] 55,10000,0.000,0.000
22:33:26.013 [MCH] 56,10000,0.000,0.000
22:33:26.014 [MCH] 57,10000,0.000,0.000
22:33:26.054 [MCH] 58,10000,0.000,0.000
22:33:26.054 [MCH] 59,10000,0.000,0.000
22:33:26.098 [MCH] 60,10000,0.000,0.000
22:33:26.099 [MCH] 61,10083,0.000,0.000
22:33:26.138 [MCH] 62,9917,0.000,0.000
22:33:26.139 [MCH] 63,10000,0.000,0.000
22:33:26.182 [MCH] 64,10000,0.000,0.000
22:33:26.182 [MCH] 65,10000,0.000,0.000
22:33:26.224 [MCH] 66,10000,0.000,0.000
22:33:26.225 [MCH] 67,10000,0.000,0.000
