22:17:38.447 [MCH] --- CSV START ---
22:17:38.448 [MCH] Metadata,Voltage:0.5V,Duration:2000ms
22:17:38.448 [MCH] Point,DeltaTime_us,Vel_Left_m_s,Vel_Right_m_s
22:17:38.448 [MCH] 0,0,0.000,0.000
22:17:38.449 [MCH] 1,9569,0.000,0.000
22:17:38.469 [MCH] 2,9997,0.000,0.001
22:17:38.470 [MCH] 3,10000,0.000,0.003
22:17:38.512 [MCH] 4,10000,0.000,0.005
22:17:38.512 [MCH] 5,10000,0.000,0.005
22:17:38.555 [MCH] 6,10000,0.000,0.004
22:17:38.556 [MCH] 7,10000,0.000,0.003
22:17:38.557 [MCH] 8,10000,0.000,0.003
22:17:38.597 [MCH] 9,10000,0.000,0.002
22:17:38.597 [MCH] 10,10000,0.000,0.002
22:17:38.640 [MCH] 11,10000,0.000,0.002
22:17:38.640 [MCH] 12,10027,0.000,0.001
22:17:38.681 [MCH] 13,9973,0.000,0.001
22:17:38.682 [MCH] 14,10000,0.000,0.001
22:17:38.724 [MCH] 15,10000,0.000,0.001
22:17:38.725 [MCH] 16,10000,0.000,0.001
22:17:38.768 [MCH] 17,10041,0.000,0.000
22:17:38.769 [MCH] 18,9961,0.000,0.000
22:17:38.808 [MCH] 19,9998,0.000,0.000
22:17:38.808 [MCH] 20,10000,0.000,0.000
22:17:38.852 [MCH] 21,10000,0.000,0.000
22:17:38.852 [MCH] 22,10000,0.000,0.000
22:17:38.894 [MCH] 23,10000,0.000,0.000
22:17:38.894 [MCH] 24,10000,0.000,0.000
22:17:38.895 [MCH] 25,10000,0.000,0.000
22:17:38.937 [MCH] 26,10000,0.000,0.000
22:17:38.937 [MCH] 27,10000,0.000,0.000
22:17:38.980 [MCH] 28,10000,0.000,0.000
22:17:38.980 [MCH] 29,10026,0.000,0.000
22:17:39.021 [MCH] 30,9974,0.000,0.000
22:17:39.022 [MCH] 31,10000,0.000,0.000
22:17:39.066 [MCH] 32,10000,0.000,0.000
22:17:39.066 [MCH] 33,10000,0.000,0.000
22:17:39.107 [MCH] 34,10000,0.000,0.000
22:17:39.108 [MCH] 35,10000,0.000,0.000
22:17:39.149 [MCH] 36,10000,0.000,0.000
22:17:39.149 [MCH] 37,10000,0.000,0.000
22:17:39.192 [MCH] 38,10000,0.000,0.000
22:17:39.192 [MCH] 39,10000,0.000,0.000
22:17:39.234 [MCH] 40,10000,0.000,0.000
22:17:39.235 [MCH] 41,10000,0.000,0.000
22:17:39.235 [MCH] 42,10000,0.000,0.000
22:17:39.276 [MCH] 43,10000,0.000,0.000
22:17:39.277 [MCH] 44,10049,0.000,0.000
22:17:39.319 [MCH] 45,9960,0.000,0.000
22:17:39.320 [MCH] 46,10020,0.000,0.000
22:17:39.361 [MCH] 47,9971,0.000,0.000
22:17:39.363 [MCH] 48,10000,0.000,0.000
22:17:39.406 [MCH] 49,10000,0.000,0.000
22:17:39.406 [MCH] 50,10000,0.000,0.000
22:17:39.445 [MCH] 51,10000,0.000,0.000
22:17:39.446 [MCH] 52,10000,0.000,0.000
22:17:39.490 [MCH] 53,10000,0.000,0.000
22:17:39.490 [MCH] 54,10000,0.000,0.000
22:17:39.530 [MCH] 55,10000,0.000,0.000
22:17:39.530 [MCH] 56,10000,0.000,0.000
22:17:39.573 [MCH] 57,10000,0.000,0.000
22:17:39.573 [MCH] 58,10000,0.000,0.000
22:17:39.573 [MCH] 59,10000,0.000,0.000
22:17:39.614 [MCH] 60,10000,0.000,0.000
22:17:39.614 [MCH] 61,10000,0.000,0.000
22:17:39.660 [MCH] 62,10000,0.000,0.000
22:17:39.660 [MCH] 63,10025,0.000,0.000
22:17:39.703 [MCH] 64,9975,0.000,0.000
22:17:39.704 [MCH] 65,10000,0.000,0.000
22:17:39.745 [MCH] 66,10000,0.000,0.000
22:17:39.745 [MCH] 67,10000,0.000,0.000
22:17:39.787 [MCH] 68,10000,0.000,0.000
22:17:39.787 [MCH] 69,10000,0.000,0.000
22:17:39.829 [MCH] 70,10000,0.000,0.000
22:17:39.829 [MCH] 71,10000,0.000,0.000
22:17:39.873 [MCH] 72,10000,0.000,0.000
22:17:39.873 [MCH] 73,10000,0.000,0.000
22:17:39.915 [MCH] 74,10000,0.000,0.000
22:17:39.917 [MCH] 75,10000,0.000,0.000
22:17:39.917 [MCH] 76,10000,0.000,0.000
22:17:39.956 [MCH] 77,10000,0.000,0.000
22:17:39.956 [MCH] 78,10000,0.000,0.000
22:17:39.999 [MCH] 79,10000,0.000,0.000
22:17:39.999 [MCH] 80,10024,0.000,0.000
22:17:40.041 [MCH] 81,9976,0.000,0.000
22:17:40.041 [MCH] 82,10000,0.000,0.000
22:17:40.083 [MCH] 83,10000,0.000,0.000
22:17:40.084 [MCH] 84,10000,0.000,0.000
22:17:40.126 [MCH] 85,10000,0.000,0.000
22:17:40.126 [MCH] 86,10000,0.000,0.000
22:17:40.171 [MCH] 87,10000,0.000,0.000
22:17:40.171 [MCH] 88,10000,0.000,0.000
22:17:40.212 [MCH] 89,10000,0.000,0.000
22:17:40.212 [MCH] 90,10000,0.000,0.000
22:17:40.254 [MCH] 91,10000,0.000,0.000
22:17:40.255 [MCH] 92,10000,0.000,0.000
22:17:40.255 [MCH] 93,10000,0.000,0.000
22:17:40.297 [MCH] 94,10000,0.000,0.000
22:17:40.297 [MCH] 95,10000,0.000,0.000
22:17:40.338 [MCH] 96,10000,0.000,0.000
22:17:40.339 [MCH] 97,10025,0.000,0.000
22:17:40.382 [MCH] 98,9975,0.000,0.000
22:17:40.382 [MCH] 99,10000,0.000,0.000
22:17:40.426 [MCH] 100,10000,0.000,0.000
22:17:40.426 [MCH] 101,10000,0.000,0.000
22:17:40.467 [MCH] 102,10000,0.000,0.000
22:17:40.467 [MCH] 103,10000,0.000,0.000
22:17:40.508 [MCH] 104,10000,0.000,0.000
22:17:40.508 [MCH] 105,10000,0.000,0.000
22:17:40.551 [MCH] 106,10000,0.000,0.000
22:17:40.552 [MCH] 107,10000,0.000,0.000
22:17:40.594 [MCH] 108,10000,0.000,0.000
22:17:40.594 [MCH] 109,10000,0.000,0.000
22:17:40.639 [MCH] 110,10000,0.000,0.000
22:17:40.639 [MCH] 111,10000,0.000,0.000
22:17:40.639 [MCH] 112,10000,0.000,0.000
22:17:40.678 [MCH] 113,10000,0.000,0.000
22:17:40.679 [MCH] 114,10025,0.000,0.000
22:17:40.722 [MCH] 115,9975,0.000,0.000
22:17:40.723 [MCH] 116,10000,0.000,0.000
22:17:40.766 [MCH] 117,10000,0.000,0.000
22:17:40.767 [MCH] 118,10000,0.000,0.000
22:17:40.805 [MCH] 119,10000,0.000,0.000
22:17:40.806 [MCH] 120,10000,0.000,0.000
22:17:40.849 [MCH] 121,10000,0.000,0.000
22:17:40.850 [MCH] 122,10000,0.000,0.000
22:17:40.893 [MCH] 123,10000,0.000,0.000
22:17:40.893 [MCH] 124,10000,0.000,0.000
22:17:40.934 [MCH] 125,10000,0.000,0.000
22:17:40.934 [MCH] 126,10000,0.000,0.000
22:17:40.935 [MCH] 127,10000,0.000,0.000
22:17:40.977 [MCH] 128,10000,0.000,0.000
22:17:40.979 [MCH] 129,10000,0.000,0.000
22:17:41.020 [MCH] 130,10000,0.000,0.000
22:17:41.020 [MCH] 131,10026,0.000,0.000
