02:12:24.486 [TLM] --- TELEMETRY START (812 samples) ---
02:12:24.488 [TLM] Time_ms,Dist_mm,X_mm,Y_mm,Yaw_mrad,VelL_mmps,VelR_mmps,LinePos,PidLine,PidLSet,PidRSet,PidLOut,PidROut,Bat_dv,Markers,F
02:12:24.488 [TLM] 32031,19,19,0,0,1810,1876,0,-3,2147,2140,12000,10823,125,32,8
02:12:24.490 [SMA] Transition: [telemetry] -> [full_stop]
02:12:24.490 [TLM] 32041,53,53,0,-9,2781,2810,0,-58,2258,2141,-298,-4377,125,32,9
02:12:24.520 [TLM] 32051,75,75,0,-27,2408,2349,0,-5,2205,2194,3046,3166,125,32,8
02:12:24.521 [TLM] 32061,98,98,-1,-26,2200,2446,0,-433,2633,1766,11083,-3497,125,32,6
02:12:24.555 [TLM] 32071,122,122,-1,-23,2402,2302,0,108,2091,2308,-412,4557,125,32,8
02:12:24.592 [TLM] 32081,144,144,-2,-9,2274,2277,0,0,2200,2199,2620,3003,125,32,3
02:12:24.592 [TLM] 32091,166,166,-2,-3,2193,2243,0,0,2199,2200,3958,3164,125,32,10
02:12:24.625 [TLM] 32101,187,187,-2,-4,2229,2258,0,0,2200,2199,3085,2479,125,32,5
02:12:24.625 [TLM] 32111,209,209,-2,-5,2282,2233,0,0,2200,2199,2184,2662,125,32,7
02:12:24.660 [TLM] 32121,234,233,-2,-6,2216,2228,0,-6,2206,2193,2965,2517,125,32,6
02:12:24.662 [TLM] 32131,256,256,-2,-8,2197,2215,0,1,2198,2201,2575,2351,125,32,6
02:12:24.696 [TLM] 32141,278,278,-3,-10,2231,2220,0,1,2198,2201,2401,2517,125,32,3
02:12:24.731 [TLM] 32151,300,300,-3,-10,2170,2209,0,6,2193,2206,2018,2331,125,32,10
02:12:24.731 [TLM] 32161,320,320,-3,-10,2235,2232,0,0,2200,2199,2212,2248,125,32,6
02:12:24.766 [TLM] 32171,344,344,-3,-11,2137,2190,0,-1,2201,2198,3532,2741,125,16416,11
02:12:24.767 [TLM] 32181,364,364,-4,-13,2196,2236,0,-15,2215,2184,2899,1974,125,16416,7
02:12:24.801 [TLM] 32191,388,388,-4,-1,1920,2497,-5,945,1254,3145,-8668,12000,125,160,8
02:12:24.802 [TLM] 32201,411,411,-3,74,1685,2724,-6,403,1796,2603,2238,2402,125,160,9
02:12:24.836 [TLM] 32211,432,432,0,139,1710,2616,-6,409,1790,2609,2442,3766,125,160,8
02:12:24.874 [TLM] 32221,451,451,2,217,994,2970,-15,1038,1161,3238,-2,11916,125,160,6
02:12:24.874 [TLM] 32231,474,472,8,349,980,3549,-16,1020,1179,3220,1027,3043,125,160,5
02:12:24.905 [TLM] 32241,496,493,18,532,940,3294,-15,1021,1178,3221,2424,5862,125,16544,0
02:12:24.905 [TLM] 32251,515,508,29,688,667,3452,-19,1343,856,3543,1400,8717,125,16544,2
02:12:24.940 [TLM] 32261,539,525,46,888,1011,2881,-16,1201,998,3401,506,12000,125,288,3
02:12:24.940 [TLM] 32271,562,537,66,1056,1020,3852,-12,-1249,3449,950,12000,-12000,125,288,4
02:12:24.975 [TLM] 32281,583,546,85,1212,1159,2749,-12,809,1390,3009,6357,7268,125,288,3
02:12:25.010 [TLM] 32291,605,552,106,1327,1980,2405,-8,509,1690,2709,1678,6479,125,288,3
02:12:25.011 [TLM] 32301,626,556,126,1398,1424,2971,-9,843,1356,3043,2404,4955,125,288,5
02:12:25.045 [TLM] 32311,644,559,144,1478,1833,2020,-5,272,1927,2472,7396,9477,125,288,5
02:12:25.046 [TLM] 32321,670,560,170,1529,2036,2430,-4,288,1911,2488,4061,4250,125,288,5
02:12:25.081 [TLM] 32331,692,561,192,1559,1850,2498,-5,-319,2519,1880,12000,-4223,125,288,8
02:12:25.081 [TLM] 32341,714,561,214,1583,1999,2536,-3,200,1999,2400,5233,2217,125,288,7
02:12:25.115 [TLM] 32351,737,560,237,1595,2188,2291,-2,158,2041,2358,3258,4221,125,288,7
02:12:25.152 [TLM] 32361,760,560,260,1594,2206,2371,-2,142,2057,2342,2641,3124,125,288,8
02:12:25.152 [TLM] 32371,780,559,280,1599,2056,2392,-3,198,2001,2398,2973,3914,125,288,8
02:12:25.191 [TLM] 32381,804,558,304,1616,2317,2072,0,2,2197,2202,2812,4429,125,288,8
02:12:25.191 [TLM] 32391,824,557,324,1616,2271,2178,0,-1,2201,2198,3293,2953,125,288,8
02:12:25.220 [TLM] 32401,848,556,348,1594,2476,1860,0,0,2200,2199,69,7299,125,288,8
02:12:25.220 [TLM] 32411,870,556,370,1589,2205,2188,0,0,2199,2200,3450,3332,125,288,8
02:12:25.258 [TLM] 32421,893,555,392,1590,2231,2206,0,0,2200,2199,3043,3041,125,288,9
02:12:25.291 [TLM] 32431,915,555,415,1589,2242,2242,0,7,2192,2207,2635,2572,125,288,8
02:12:25.291 [TLM] 32441,937,555,437,1587,2254,2215,0,-121,2321,2078,4284,909,125,288,9
02:12:25.327 [TLM] 32451,959,554,459,1578,2240,2121,0,-57,2257,2142,3499,2862,125,288,8
02:12:25.327 [TLM] 32461,979,554,479,1575,2189,2209,0,-3,2203,2196,3194,2724,125,288,8
02:12:25.359 [TLM] 32471,1004,554,504,1575,2174,2269,0,-233,2433,1966,6691,-1612,125,288,8
02:12:25.360 [TLM] 32481,1025,554,525,1559,2280,2046,0,229,1970,2429,-1507,8202,125,288,8
02:12:25.395 [TLM] 32491,1048,554,547,1559,2163,2198,0,-5,2205,2194,3490,3078,125,288,8
02:12:25.431 [TLM] 32501,1070,555,570,1561,2189,2259,0,-3,2203,2196,3068,2115,125,288,8
02:12:25.431 [TLM] 32511,1092,555,592,1559,2244,2250,0,-1,2201,2198,2265,2154,125,288,8
02:12:25.466 [TLM] 32521,1114,555,614,1556,2212,2182,0,1,2198,2201,2553,3029,125,288,8
02:12:25.467 [TLM] 32531,1136,555,636,1556,2239,2191,0,-6,2206,2193,2270,2735,125,288,8
02:12:25.502 [TLM] 32541,1156,556,656,1556,2155,2213,0,-1,2201,2198,3314,2598,125,288,7
02:12:25.502 [TLM] 32551,1180,556,680,1557,2215,2206,0,-1,2201,2198,2573,2674,125,288,8
02:12:25.536 [TLM] 32561,1202,556,702,1557,2230,2194,0,-4,2204,2195,2425,2798,125,288,8
02:12:25.572 [TLM] 32571,1224,557,724,1558,2216,2190,0,-1,2201,2198,2541,2885,125,288,6
02:12:25.572 [TLM] 32581,1246,557,746,1558,2171,2153,0,0,2199,2200,3208,3354,125,288,8
02:12:25.606 [TLM] 32591,1268,557,768,1559,2239,2208,0,0,2199,2200,2182,2667,125,288,8
02:12:25.606 [TLM] 32601,1288,557,788,1559,2184,2186,0,-71,2271,2128,4204,1711,125,288,8
