17:03:35.913 [TLM] --- TELEMETRY START (3251 samples) ---
17:03:35.941 [TLM] Time_ms,Dist_mm,X_mm,Y_mm,Yaw_mrad,Accel_x_mg,Accel_y_mg,VelL_mmps,VelR_mmps,LinePos,PidLine,PidLSet,PidRSet,PidLOut,PidROut,Bat_dv,Markers,F
17:03:35.942 [TLM] Metadata: Line kP: 0.034000, Line kI: 0.000000, Line kD: 0.000340
17:03:35.942 [TLM] 17766,18,18,0,-2,-2,-2,1585,2198,0,-140,1640,1359,4237,-6816,124,32,25
17:03:35.946 [SMA] Transition: [telemetry] -> [full_stop]
17:03:35.946 [TLM] 17776,38,38,0,-9,-9,-9,1566,1580,-4,230,1269,1730,-3748,3986,124,32,25
17:03:35.946 [TLM] 17786,53,53,0,2,2,2,1266,1665,-3,8,1491,1508,4036,-378,124,32,25
17:03:35.976 [TLM] 17796,65,65,0,11,11,11,1756,1212,0,68,1431,1568,-2663,6169,124,32,25
17:03:36.049 [TLM] 17806,82,82,0,20,20,20,1386,1657,0,-107,1607,1392,4955,-1988,124,32,25
17:03:36.049 [TLM] 17816,96,96,0,35,35,35,1576,1425,0,-1,1501,1498,436,3049,124,32,25
17:03:36.049 [TLM] 17826,112,112,1,53,53,53,1403,1624,0,44,1455,1544,2359,-548,124,32,25
17:03:36.049 [TLM] 17836,126,126,2,67,67,67,1438,1522,0,-370,1870,1129,7878,-3885,124,32,25
17:03:36.081 [TLM] 17846,141,141,3,70,70,70,1716,1234,3,-109,1609,1390,3441,1049,124,32,25
17:03:36.081 [TLM] 17856,155,154,4,55,55,55,1318,1575,0,2,1497,1502,3864,1151,124,32,25
17:03:36.115 [TLM] 17866,172,171,4,49,49,49,1559,1368,0,0,1499,1500,-14,2538,124,32,25
17:03:36.116 [TLM] 17876,187,187,5,37,37,37,1686,1398,0,112,1387,1612,-2525,4982,124,32,25
17:03:36.150 [TLM] 17886,202,202,6,27,27,27,1721,1383,0,343,1156,1843,-5743,7905,124,32,25
