17:17:30.862 [TLM] --- TELEMETRY START (3177 samples) ---
17:17:30.864 [TLM] Time_ms,Dist_mm,X_mm,Y_mm,Yaw_mrad,Accel_x_mg,Accel_y_mg,VelL_mmps,VelR_mmps,LinePos,PidLine,PidLSet,PidRSet,PidLOut,PidROut,Bat_dv,Markers,F
17:17:30.865 [TLM] Metadata: Line kP: 0.035000, Line kI: 0.000000, Line kD: 0.000340
17:17:30.866 [TLM] 22620,15,15,0,1,1,1,1334,1436,0,-8,1508,1491,7003,5617,121,32,25
17:17:30.866 [SMA] Transition: [telemetry] -> [full_stop]
17:17:30.868 [TLM] 22630,32,32,0,4,4,4,1615,1786,0,8,1491,1508,3034,285,121,32,25
17:17:30.895 [TLM] 22640,50,50,0,1,1,1,1670,1627,0,2,1497,1502,1567,1531,121,32,25
17:17:30.932 [TLM] 22650,64,64,0,-2,-2,-2,1602,1582,-1,205,1294,1705,-1131,4615,121,32,25
17:17:30.932 [TLM] 22660,80,80,0,1,1,1,1504,1654,0,-49,1549,1450,3514,-623,121,32,25
17:17:30.967 [TLM] 22670,95,95,0,5,5,5,1559,1510,0,89,1410,1589,201,3359,121,32,25
17:17:30.967 [TLM] 22680,112,112,0,7,7,7,1540,1522,0,164,1335,1664,-609,3874,121,32,25
17:17:31.001 [TLM] 22690,127,127,0,8,8,8,1598,1472,0,30,1469,1530,639,2339,121,32,25
17:17:31.038 [TLM] 22700,142,142,0,4,4,4,1528,1419,0,-244,1744,1255,5270,-754,121,32,25
17:17:31.039 [TLM] 22710,157,157,0,-3,-3,-3,1440,1628,-2,211,1288,1711,-788,3613,121,32,25
17:17:31.071 [TLM] 22720,172,172,0,5,5,5,1501,1414,0,-23,1523,1476,1900,2655,121,32,25
17:17:31.072 [TLM] 22730,187,187,0,12,12,12,1530,1500,-1,256,1243,1756,-2484,6133,121,32,25
17:17:31.106 [TLM] 22740,203,203,0,22,22,22,1436,1623,0,-29,1529,1470,2864,127,121,32,25
17:17:31.106 [TLM] 22750,217,217,1,23,23,23,1588,1354,0,262,1237,1762,-2583,7723,121,32,25
17:17:31.141 [TLM] 22760,232,232,1,23,23,23,1525,1583,0,-2,1502,1497,1721,1248,121,32,25
17:17:31.177 [TLM] 22770,247,247,1,26,26,26,1464,1526,0,1,1498,1501,2604,1768,121,32,25
17:17:31.177 [TLM] 22780,262,262,2,24,24,24,1566,1410,0,-587,2087,912,9454,-4720,121,32,25
17:17:31.247 [TLM] 22790,277,277,2,24,24,24,1521,1517,0,-169,1669,1330,4015,-638,121,32,25
17:17:31.247 [TLM] 22800,292,292,3,17,17,17,1596,1367,0,407,1092,1907,-4799,9215,121,32,25
17:17:31.248 [TLM] 22810,305,305,3,12,12,12,1264,1455,0,436,1063,1936,-956,8347,121,32,25
17:17:31.249 [TLM] 22820,321,321,3,15,15,15,1531,1572,0,-7,1507,1492,2526,785,121,32,25
17:17:31.281 [TLM] 22830,336,336,3,15,15,15,1475,1509,0,11,1488,1511,2788,1991,121,32,25
17:17:31.317 [TLM] 22840,351,351,3,17,17,17,1467,1497,0,180,1319,1680,480,4499,121,32,25
17:17:31.318 [TLM] 22850,365,365,4,17,17,17,1578,1466,0,156,1343,1656,-716,4763,121,32,25
17:17:31.352 [TLM] 22860,381,381,4,23,23,23,1438,1562,0,119,1380,1619,1718,2848,121,32,25
