06:22:13.732 [TLM] --- TELEMETRY START (1177 samples) ---
06:22:13.734 [TLM] Time_ms,Dist_mm,X_mm,Y_mm,Yaw_mrad,Accel_x_mg,Accel_y_mg,VelL_mmps,VelR_mmps,LinePos,PidLine,PidLSet,PidRSet,PidLOut,PidROut,Bat_dv,Markers,F
06:22:13.735 [TLM] Metadata: Line kP: 36.000000, Line kI: 0.000000, Line kD: 0.096000
06:22:13.737 [TLM] 39119,18,18,0,-1,2750,-3999,1189,1159,0,7,1492,1507,8723,10084,147,32,45
06:22:13.767 [SMA] Transition: [telemetry] -> [full_stop]
06:22:13.767 [TLM] 39129,52,52,0,-10,-421,-520,1836,2367,-2,109,1390,1609,-2587,-6607,147,32,45
06:22:13.802 [TLM] 39139,59,59,0,-22,-693,2207,1376,1591,-4,154,1345,1654,2085,3346,147,32,45
06:22:13.803 [TLM] 39149,76,76,0,-36,-1940,-3999,1428,1616,-5,212,1287,1712,4,4199,147,32,45
06:22:13.838 [TLM] 39159,92,92,-1,-29,9,2573,1327,1830,-5,214,1285,1714,851,1270,147,32,45
06:22:13.838 [TLM] 39169,107,107,-1,-8,678,-620,1370,1704,-4,122,1377,1622,1483,1219,147,32,45
06:22:13.872 [TLM] 39179,122,122,-1,6,163,346,1377,1618,-1,81,1418,1581,2225,1395,147,32,45
06:22:13.873 [TLM] 39189,137,137,-1,9,-257,-126,1436,1535,-1,85,1414,1585,1541,2451,147,32,45
06:22:13.907 [TLM] 39199,152,152,-1,11,68,89,1433,1548,-2,79,1420,1579,1432,2389,147,32,45
06:22:13.942 [TLM] 39209,167,167,-1,18,-198,272,1469,1561,-1,41,1458,1541,1537,1704,147,32,45
06:22:13.942 [TLM] 39219,182,182,0,25,3999,973,1487,1503,0,-73,1573,1426,3018,652,147,32,45
06:22:13.976 [TLM] 39229,197,197,0,19,131,1024,1448,1499,-1,72,1427,1572,1361,3031,147,32,45
06:22:13.977 [TLM] 39239,212,212,0,24,985,1864,1387,1627,-3,28,1471,1528,2279,1041,147,32,45
06:22:14.011 [TLM] 39249,227,227,0,38,165,1088,1485,1560,0,11,1488,1511,1565,1275,147,32,45
06:22:14.012 [TLM] 39259,242,242,1,43,-492,313,1516,1529,0,30,1469,1530,1105,1819,147,32,45
06:22:14.047 [TLM] 39269,257,257,1,42,474,971,1467,1492,0,-43,1543,1456,2698,1281,147,32,45
06:22:14.084 [TLM] 39279,273,273,2,42,1239,-1445,1538,1537,0,11,1488,1511,1079,1466,147,32,45
06:22:14.085 [TLM] 39289,287,287,2,39,720,2411,1511,1507,0,-60,1560,1439,2368,750,147,32,45
06:22:14.120 [TLM] 39299,302,302,3,33,1344,-1526,1539,1451,1,-76,1576,1423,2358,1153,147,32,45
06:22:14.122 [TLM] 39309,317,317,3,27,-2819,975,1468,1478,-1,44,1455,1544,1356,2924,147,32,45
06:22:14.152 [TLM] 39319,332,332,4,37,-1058,46,1446,1523,0,21,1478,1521,2000,2015,147,32,45
06:22:14.189 [TLM] 39329,347,347,5,47,-224,1184,1460,1539,0,-38,1538,1461,2879,825,147,16416,45
06:22:14.189 [TLM] 39339,362,362,5,50,2056,50,1507,1520,0,-32,1532,1467,2397,989,147,16416,45
06:22:14.223 [TLM] 39349,377,377,6,41,-19,2243,1559,1501,-1,93,1406,1593,-137,3141,147,160,45
06:22:14.223 [TLM] 39359,392,392,7,40,-1719,-3793,1500,1539,-1,16,1483,1516,1299,1776,147,160,45
06:22:14.259 [TLM] 39369,407,407,7,52,-551,688,1411,1555,-2,86,1413,1586,1427,2692,147,160,45
06:22:14.259 [TLM] 39379,422,422,8,72,592,2922,1371,1630,-5,245,1254,1745,-542,4222,147,160,45
06:22:14.294 [TLM] 39389,436,435,9,100,674,-2072,1362,1612,-1,50,1449,1550,2468,1350,147,160,45
06:22:14.294 [TLM] 39399,452,452,11,116,1652,-445,1442,1563,0,58,1441,1558,1849,1732,147,160,45
06:22:14.329 [TLM] 39409,466,466,13,119,2331,1104,1383,1635,-6,301,1198,1801,-1328,4754,147,160,45
06:22:14.365 [TLM] 39419,482,482,15,155,2421,-510,1286,1683,-2,63,1436,1563,3124,517,147,160,45
06:22:14.365 [TLM] 39429,496,495,17,178,-552,2590,1422,1584,0,-15,1515,1484,3046,280,147,160,45
06:22:14.398 [TLM] 39439,513,512,21,177,-368,2230,1586,1475,1,-47,1547,1452,1593,953,147,160,45
06:22:14.400 [TLM] 39449,526,525,23,163,-1028,716,1561,1432,0,-19,1519,1480,1382,2139,147,160,45
06:22:14.432 [TLM] 39459,542,541,25,154,-3118,-2882,1476,1478,-1,75,1424,1575,835,3393,147,160,45
06:22:14.467 [TLM] 39469,557,555,28,166,-2315,-3211,1366,1624,-5,165,1334,1665,497,3359,147,160,45
06:22:14.468 [TLM] 39479,571,569,30,196,1255,3999,1344,1632,-1,48,1451,1548,2716,1131,147,160,45
06:22:14.503 [TLM] 39489,586,584,33,216,-416,-702,1363,1616,-3,188,1311,1688,698,3323,147,160,45
06:22:14.503 [TLM] 39499,603,600,37,241,-511,-1967,1276,1798,-5,113,1386,1613,2485,50,147,160,45
06:22:14.538 [TLM] 39509,618,615,41,270,3999,555,1368,1678,-4,164,1335,1664,974,1857,147,160,45
06:22:14.539 [TLM] 39519,633,629,45,288,917,-1877,1288,1681,-4,144,1355,1644,2314,1478,147,160,45
06:22:14.575 [TLM] 39529,647,643,49,308,107,3964,1333,1647,-4,148,1351,1648,1778,2016,147,160,45
06:22:14.576 [TLM] 39539,663,658,54,324,2563,-544,1398,1652,-6,308,1191,1808,-1378,4513,147,160,45
06:22:14.607 [TLM] 39549,678,672,59,352,437,3070,1281,1750,-6,231,1268,1731,840,2422,147,160,45
06:22:14.644 [TLM] 39559,693,685,65,389,775,-1440,1279,1717,-2,74,1425,1574,3413,50,147,160,45
06:22:14.645 [TLM] 39569,708,699,70,410,1554,1049,1322,1665,-4,192,1307,1692,1242,2532,147,160,45
06:22:14.678 [TLM] 39579,722,713,77,434,331,-375,1333,1644,-4,138,1361,1638,1913,2023,147,160,45
06:22:14.679 [TLM] 39589,737,726,83,453,801,-450,1381,1589,-2,99,1400,1599,2071,1970,147,160,45
06:22:14.713 [TLM] 39599,753,740,90,470,-681,-1589,1341,1658,-5,245,1254,1745,193,3540,147,160,45
06:22:14.714 [TLM] 39609,768,754,97,495,-130,939,1323,1700,-4,67,1432,1567,2659,455,147,160,45
06:22:14.748 [TLM] 39619,783,767,104,521,3068,-3999,1360,1670,-1,12,1487,1512,3531,-562,147,160,45
06:22:14.784 [TLM] 39629,798,780,112,522,-3418,169,1463,1554,-3,178,1321,1678,-363,3783,147,160,45
06:22:14.785 [TLM] 39639,813,792,119,531,-619,-1298,1393,1569,-4,151,1348,1651,774,3221,147,160,45
06:22:14.819 [TLM] 39649,827,805,127,555,-2779,385,1294,1618,-5,226,1273,1726,987,3890,147,160,45
06:22:14.819 [TLM] 39659,843,818,135,586,-543,-889,1241,1817,-6,221,1278,1721,1589,1435,147,160,45
06:22:14.853 [TLM] 39669,858,831,144,625,2701,806,1247,1802,-7,224,1275,1724,1507,1182,147,160,45
06:22:14.854 [TLM] 39679,873,842,153,649,3999,-3999,1268,1659,-4,144,1355,1644,2723,1610,147,160,45
06:22:14.887 [TLM] 39689,888,854,162,660,-684,3229,1361,1600,-4,231,1268,1731,520,3718,147,160,45
06:22:14.924 [TLM] 39699,903,866,171,672,-1454,20,1350,1704,-6,215,1284,1715,472,2518,147,160,45
06:22:14.925 [TLM] 39709,918,878,181,696,3792,463,1316,1662,-5,232,1267,1732,764,3150,147,160,45
06:22:14.960 [TLM] 39719,933,889,191,717,-706,-623,1363,1638,-4,133,1366,1633,1642,2027,147,160,45
06:22:14.962 [TLM] 39729,948,900,200,735,434,2643,1332,1651,-4,106,1393,1606,2475,1432,147,160,45
06:22:14.993 [TLM] 39739,962,911,210,752,1442,-2268,1317,1628,-4,159,1340,1659,1943,2600,147,160,45
06:22:14.996 [TLM] 39749,978,922,221,768,3261,3532,1362,1688,-5,224,1275,1724,355,2991,147,160,45
06:22:15.028 [TLM] 39759,993,932,231,793,-1185,-979,1304,1684,-4,142,1357,1642,2249,1817,147,160,45
06:22:15.064 [TLM] 39769,1008,943,242,816,-796,1827,1301,1716,-5,211,1288,1711,1174,2467,147,160,45
06:22:15.064 [TLM] 39779,1023,953,254,844,86,-637,1295,1740,-6,256,1243,1756,537,2700,147,160,45
06:22:15.097 [TLM] 39789,1038,963,265,876,843,1647,1242,1742,-8,333,1166,1833,30,3955,147,160,45
06:22:15.098 [TLM] 39799,1053,972,277,915,-104,-1953,1193,1834,-7,186,1313,1686,2576,549,147,160,45
06:22:15.134 [TLM] 39809,1068,981,289,954,-39,3094,1249,1745,-5,176,1323,1676,2323,1285,147,160,45
06:22:15.134 [TLM] 39819,1083,990,301,979,-311,210,1307,1672,-4,155,1344,1655,2247,1739,147,160,45
06:22:15.168 [TLM] 39829,1098,998,314,995,3999,1997,1336,1687,-4,130,1369,1630,2158,1208,147,160,45
06:22:15.203 [TLM] 39839,1113,1006,326,1012,587,199,1338,1614,-3,143,1356,1643,2009,2069,147,160,45
06:22:15.204 [TLM] 39849,1128,1014,339,1022,-11,1353,1403,1609,-3,98,1401,1598,1816,1816,147,160,45
06:22:15.238 [TLM] 39859,1143,1022,352,1034,585,-2100,1408,1638,-3,83,1416,1583,1798,1241,147,160,45
06:22:15.238 [TLM] 39869,1158,1029,365,1049,-954,-2348,1378,1647,-4,127,1372,1627,1391,1934,147,160,45
06:22:15.272 [TLM] 39879,1173,1036,378,1072,936,-370,1323,1693,-4,178,1321,1678,1368,2014,147,160,45
06:22:15.273 [TLM] 39889,1188,1043,391,1093,385,1343,1308,1637,-4,177,1322,1677,1631,2689,147,160,45
06:22:15.311 [TLM] 39899,1203,1050,405,1113,46,350,1354,1647,-4,155,1344,1655,1359,2327,147,160,45
06:22:15.343 [TLM] 39909,1218,1056,418,1136,-2167,-2412,1308,1698,-5,138,1361,1638,2027,1555,147,160,45
06:22:15.344 [TLM] 39919,1233,1062,432,1167,1651,316,1275,1679,-3,100,1399,1600,3267,965,147,160,45
06:22:15.378 [TLM] 39929,1248,1068,445,1180,1254,294,1369,1617,-2,85,1414,1585,2586,1363,147,160,45
06:22:15.378 [TLM] 39939,1263,1074,459,1183,-3933,-682,1326,1649,-9,463,1036,1963,-2766,7196,147,160,45
06:22:15.413 [TLM] 39949,1278,1079,474,1220,-1201,1032,1191,1848,-7,210,1289,1710,2336,814,147,160,45
06:22:15.414 [TLM] 39959,1293,1084,488,1256,342,-896,1234,1747,-6,231,1268,1731,1852,2110,147,160,45
06:22:15.447 [TLM] 39969,1308,1089,502,1277,-1608,3131,1356,1631,-3,138,1361,1638,1890,2065,147,160,45
06:22:15.483 [TLM] 39979,1323,1093,517,1286,-1893,-633,1377,1669,-4,202,1297,1702,642,2644,147,160,45
06:22:15.484 [TLM] 39989,1338,1097,531,1302,2411,825,1339,1686,-5,188,1311,1688,1042,2309,147,160,45
06:22:15.518 [TLM] 39999,1353,1101,546,1325,188,283,1282,1740,-7,270,1229,1770,411,2955,147,160,45
06:22:15.518 [TLM] 40009,1369,1104,561,1360,1687,1139,1273,1765,-5,187,1312,1687,1682,1226,147,160,45
06:22:15.552 [TLM] 40019,1383,1107,575,1387,-281,48,1279,1656,-4,167,1332,1667,2200,2243,147,160,45
06:22:15.554 [TLM] 40029,1398,1110,590,1401,759,-1419,1328,1670,-4,164,1335,1664,1706,2052,147,160,45
06:22:15.588 [TLM] 40039,1413,1112,604,1413,-281,-2492,1333,1659,-4,176,1323,1676,1429,2274,147,160,45
06:22:15.623 [TLM] 40049,1427,1114,619,1424,-343,1393,1327,1599,-4,144,1355,1644,1760,2527,147,160,45
06:22:15.623 [TLM] 40059,1443,1117,634,1434,-215,-817,1349,1702,-5,204,1295,1704,781,2440,147,160,45
06:22:15.658 [TLM] 40069,1458,1118,649,1451,1227,1923,1303,1719,-6,239,1260,1739,665,2590,147,160,45
06:22:15.658 [TLM] 40079,1473,1120,664,1481,-2937,-758,1200,1824,-10,388,1111,1888,-343,3715,147,16544,45
06:22:15.695 [TLM] 40089,1488,1121,679,1523,-1783,3425,1052,1886,-6,173,1326,1673,4701,-777,147,288,45
06:22:15.697 [TLM] 40099,1503,1121,694,1556,-703,-1544,1321,1609,-6,215,1284,1715,1080,3662,147,288,45
06:22:15.727 [TLM] 40109,1517,1121,708,1584,1750,-390,1242,1798,-4,137,1362,1637,3087,-84,147,288,45
06:22:15.764 [TLM] 40119,1533,1121,724,1609,1694,181,1325,1620,-3,116,1383,1616,2632,1730,147,288,45
06:22:15.765 [TLM] 40129,1548,1120,739,1620,565,321,1439,1603,-2,115,1384,1615,1224,2022,147,288,45
06:22:15.799 [TLM] 40139,1562,1119,753,1630,3999,157,1395,1511,-1,21,1478,1521,3097,1941,147,288,45
06:22:15.800 [TLM] 40149,1575,1119,766,1638,3046,705,1359,1570,0,25,1474,1525,3745,1223,147,288,45
06:22:15.834 [TLM] 40159,1593,1117,784,1642,598,-1287,1640,1441,0,-17,1517,1482,862,2278,147,288,45
06:22:15.868 [TLM] 40169,1607,1116,797,1644,-935,1629,1481,1571,0,-26,1526,1473,2419,567,147,288,45
06:22:15.905 [TLM] 40179,1622,1115,813,1651,503,-2190,1456,1442,0,-8,1508,1491,2726,2379,147,288,45
06:22:15.906 [TLM] 40189,1636,1114,827,1650,2593,1418,1563,1499,0,11,1488,1511,1184,2118,147,288,45
06:22:15.907 [TLM] 40199,1653,1113,843,1649,-1550,-1377,1463,1516,0,10,1489,1510,2269,1735,147,288,45
06:22:15.939 [TLM] 40209,1665,1112,856,1649,1690,-2569,1455,1419,0,20,1479,1520,2491,3381,147,288,45
06:22:15.942 [TLM] 40219,1682,1110,872,1644,824,-1717,1476,1471,0,4,1495,1504,2482,2565,147,288,45
06:22:15.976 [TLM] 40229,1696,1109,887,1644,-493,402,1571,1476,0,-64,1564,1435,2143,1559,147,288,45
06:22:15.978 [TLM] 40239,1711,1108,901,1647,-360,2172,1462,1413,0,37,1462,1537,2293,4086,147,288,45
06:22:16.008 [TLM] 40249,1725,1107,915,1646,1628,-2173,1396,1543,-1,15,1484,1515,3426,2291,147,288,45
06:22:16.043 [TLM] 40259,1743,1106,934,1651,-2992,-477,1644,1557,0,-3,1503,1496,546,1581,147,288,45
06:22:16.044 [TLM] 40269,1756,1105,946,1653,2265,-1015,1482,1452,1,-9,1509,1490,2490,2727,147,288,45
06:22:16.080 [TLM] 40279,1772,1103,962,1652,-1396,1513,1547,1431,1,-44,1544,1455,2396,2524,147,288,45
06:22:16.082 [TLM] 40289,1786,1102,976,1648,117,-1832,1577,1438,0,41,1458,1541,665,3722,147,288,45
06:22:16.115 [TLM] 40299,1802,1101,992,1648,2657,-3999,1487,1451,0,-18,1518,1481,2576,2881,147,288,45
06:22:16.115 [TLM] 40309,1815,1100,1005,1647,-2717,2629,1516,1466,3,-94,1594,1405,3570,1306,147,288,45
06:22:16.149 [TLM] 40319,1833,1099,1024,1633,-23,-404,1758,1380,2,-62,1562,1437,-166,2735,147,288,45
